LOCH BAD-MA-SCALAIG,,,,,,,,,,,,
Grid ref,NG848719,Long,-5.611691,Lat,57.685299,,,,,,,
Station no,5784/66,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,100.00,11.02,11.59,7.40,5.33,,
February,,,,,,-999.00,5.01,6.54,2.89,5.04,,
March,,,,,,-999.00,5.74,3.76,3.84,1.41,,
April,,,,,,-999.00,4.64,4.60,5.94,5.29,,
May,,,,,,-999.00,2.72,6.94,2.76,3.03,,
June,,,,,,-999.00,4.13,1.99,7.09,7.05,,
July,,,,,,-999.00,5.42,3.04,9.16,4.38,,
August,,,,,,-999.00,8.12,5.18,7.58,3.97,,
September,,,,,,-999.00,6.92,4.03,4.30,4.99,,
October,,,,,,-999.00,11.30,9.46,10.80,2.20,,
November,,,,,,-999.00,5.30,3.74,8.79,5.08,,
December,,,,,,12.38,9.40,4.74,8.73,10.21,,
Total,,,,,,100.00,79.72,65.61,79.28,57.98,,
Calc annual,0.00,0.00,0.00,0.00,0.00,112.38,79.72,65.61,79.28,57.98,,
Difference,NaN,NaN,NaN,NaN,NaN,-12.38,-0.00,0.00,0.00,-0.00,,
