AM FEUR-LOCH (LOCH BAD AN SGALAIG),,,,,,,,,,
Grid ref,NG849721,Long,-5.610196,Lat,57.68714,Elevation,500,ft,,
Station no,5784/65,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,9.7,5.5,6.24,4.31,6.39,8.33,,,
February,,6.5,6.05,5.01,4.91,4.46,4.13,,,
March,,4.9,2.85,4.18,2.29,1.58,5.05,,,
April,,3.9,7.5,2.8,3.44,3.25,3.95,,,
May,,4.8,4.2,4.83,3.98,4.88,2.58,,,
June,,6.2,2.6,7.08,2.55,3.47,3.72,,,
July,,5.4,8.95,5.87,1.49,8.03,5.19,,,
August,,7.3,8.3,3.22,1.48,6.83,7.06,,,
September,,8.3,6.5,7.39,8.38,3.38,6.17,,,
October,4.75,6.55,5.45,11.06,10.17,7.27,9.35,,,
November,7,7.65,13.74,6.74,2.76,6.84,4.67,,,
December,11.8,10.95,5.46,9.3,7.35,9.8,,,,
Total,,82.15,77.1,73.72,53.11,66.18,,,,
,,,,,,,,,,
1/10/51/G move,,,,,,,,,,
BR 1952 P,,,,,,,,,,
BR1955 P,,,,,,,,,,
BR 1956 NP Low,,,,,,,,,,
,,,,,,,,,,
Station no,5784/65,,,,,,,,,
Midas,14128,,,,,,,,,
Hyd Stn,712236,,,,,,,,,
