"HORNING (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TG358164,Long,1.488021,Lat,52.693903,,,,,,,
Station no,1429/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.52,2.05,1.11,1.88,1.73,2.80,1.57,1.90,2.73,3.73,,
February,3.10,1.08,1.66,2.17,2.12,2.40,1.90,3.35,0.17,1.43,,
March,3.23,2.09,0.47,2.16,1.83,1.12,2.14,1.42,1.02,1.10,,
April,3.38,1.58,1.94,0.52,0.44,0.83,0.52,0.72,1.91,0.80,,
May,2.25,1.11,0.90,1.54,1.79,0.49,1.73,3.31,0.22,0.13,,
June,1.29,1.32,2.44,2.61,2.12,2.36,1.76,3.20,0.67,1.11,,
July,1.64,2.25,1.93,2.08,0.28,2.33,2.68,3.01,1.32,3.61,,
August,2.26,2.77,2.18,5.95,0.90,2.63,2.80,2.30,1.50,3.34,,
September,2.04,2.94,1.51,1.66,1.77,1.01,3.31,1.56,0.10,4.07,,
October,0.77,2.26,2.44,2.26,3.90,3.15,1.27,1.85,2.39,4.67,,
November,3.43,4.10,1.16,3.95,0.90,1.60,1.80,1.00,2.28,2.92,,
December,1.20,2.96,1.02,1.73,1.35,1.67,2.15,2.77,2.53,3.68,,
Total,27.11,26.51,18.76,28.51,19.13,22.39,23.63,26.39,16.84,30.59,,
Calc annual,27.11,26.51,18.76,28.51,19.13,22.39,23.63,26.39,16.84,30.59,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
