HORNING-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG358164,Long,1.488021,Lat,52.693903,Elevation,9,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1429/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.04,1.23,1.49,2.81,3.94,2.22,1.74,1.84,1.71,3.72,1.22,1.26,2.52,2.05,1.11,1.88,1.73,2.8,1.57,1.9,2.73,3.73
February,,,,,,,,,0.8,1.04,1.7,0.76,0.57,1.85,1.48,4.24,1.88,0.79,0.92,3.01,3.1,1.08,1.66,2.17,2.12,2.4,1.9,3.35,0.17,1.43
March,,,,,,,,,2.14,2.64,2.84,1.89,0.71,0.55,1.88,0.78,3.94,0.63,1.26,0.35,3.23,2.09,0.47,2.16,1.83,1.12,2.14,1.42,1.02,1.1
April,,,,,,,,,2.39,1.66,0.98,0.68,0.98,1.69,2.85,0.67,1.83,0.98,1.6,1.59,3.38,1.58,1.94,0.52,0.44,0.83,0.52,0.72,1.91,0.8
May,,,,,,,,,0.91,0.33,2.26,2.14,1.42,1.25,2.09,1.91,1.27,3.25,2.27,2.24,2.25,1.11,0.9,1.54,1.79,0.49,1.73,3.31,0.22,0.13
June,,,,,,,,,1.59,0.72,0.96,1.72,1.31,1.42,2.28,4.64,0.95,3.32,0.53,3.28,1.29,1.32,2.44,2.61,2.12,2.36,1.76,3.2,0.67,1.11
July,,,,,,,,,1.5,4.25,2.43,3.18,0.62,1.71,1.2,6.07,1.18,2.7,1.4,3.33,1.64,2.25,1.93,2.08,0.28,2.33,2.68,3.01,1.32,3.61
August,,,,,,,,,2.09,1.37,3.9,1.16,1.78,1.17,3.98,3.52,0.23,3.17,1.62,1.95,2.26,2.77,2.18,5.95,0.9,2.63,2.8,2.3,1.5,3.34
September,,,,,,,,,1.65,1.09,0.34,1.93,2.43,2.9,1.7,3.85,1.03,1.58,2.08,3.32,2.04,2.94,1.51,1.66,1.77,1.01,3.31,1.56,0.1,4.07
October,,,,,,,,,6.15,2.51,3.56,4.37,1.52,4.27,3.03,1.43,0.29,1.65,3.25,0.96,0.77,2.26,2.44,2.26,3.9,3.15,1.27,1.85,2.39,4.67
November,,,,,,,,,4.11,5.75,2.18,3.08,4.25,4.8,1.33,3.1,1.71,0.79,2.39,3.93,3.43,4.1,1.16,3.95,0.9,1.6,1.8,1,2.28,2.92
December,,,,,,,,,2.26,2.46,1.09,2.18,1.36,1.79,2.74,3.02,2.11,1.35,1.43,2.41,1.2,2.96,1.02,1.73,1.35,1.67,2.15,2.77,2.53,3.68
Total,,,,,,,,,30.63,25.05,23.73,25.9,20.89,25.62,26.3,35.07,18.13,23.93,19.97,27.63,27.11,26.51,18.76,28.51,19.13,22.39,23.63,26.39,16.84,30.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Total IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
