ADDINGTON (HARES BANK PUMP STATION),,,,,,,,,,,,
Grid ref,TQ370627,Long,-0.034244,Lat,51.346877,,,,,,,
Station no,74,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.33,2.50,1.22,1.52,2.85,4.03,1.73,2.42,3.00,2.50,,
February,7.58,1.13,1.86,2.49,2.03,0.36,3.60,2.46,0.07,2.34,,
March,3.45,2.79,0.42,2.47,1.22,1.12,1.08,1.49,2.02,1.83,,
April,2.96,1.29,2.69,0.39,0.31,1.21,0.26,1.31,2.55,0.65,,
May,2.30,1.37,1.56,2.42,4.45,0.44,1.39,2.17,1.15,1.76,,
June,1.04,1.56,2.03,4.21,2.21,3.58,1.40,4.50,1.00,1.20,,
July,2.27,0.87,3.87,2.74,0.12,6.57,4.33,2.36,1.03,3.72,,
August,4.03,4.79,1.47,3.08,1.30,3.09,2.90,2.84,1.10,2.56,,
September,2.54,3.33,2.93,2.25,1.95,2.93,2.73,5.51,0.22,3.34,,
October,1.18,3.25,4.59,2.05,4.26,1.52,1.91,3.49,2.18,6.80,,
November,6.27,3.93,1.63,5.72,1.01,0.84,3.18,1.69,3.01,4.93,,
December,2.81,2.44,0.90,1.86,2.42,3.47,2.36,3.10,5.08,3.26,,
Total,39.76,29.25,25.17,31.20,24.13,29.16,26.87,33.34,22.41,34.89,,
Calc annual,39.76,29.25,25.17,31.20,24.13,29.16,26.87,33.34,22.41,34.89,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
