CHIGWELL-GRANGE-COURT,,,,,,,,,,
Grid ref,TQ440936,Long,0.078788728,Lat,51.622803,Elevation,190,ft,,
Station no,RR7399,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,2.81,2.94,0.69,3.74,1.42,1.39,2.76,
February,,,1.29,0.72,2.27,3.06,3.6,0.75,0.99,
March,,,2.48,1.87,4.15,0.94,4.11,1.82,0.93,
April,,,0.11,2.45,0.85,0.9,1.52,2.39,3.17,
May,,,0.94,1.64,1.69,2.52,1.92,2.03,2.34,
June,,,3.19,0.35,1.78,1.19,2.14,1.41,0.94,
July,,,1.23,1.54,1.61,4.37,1.57,3.61,5.78,
August,,,4.29,1.74,1.22,2.86,4.85,4.78,1.67,
September,,,2.02,1.44,1.25,1.96,1.23,1.77,4.68,
October,,,1.84,3.46,1.09,1.61,3.07,3.48,1.49,
November,,,1.72,2.65,2.53,2.67,4.35,1.55,1.9,
December,,,2.6,0.82,6.53,5.01,2.58,0.95,2.35,
Total,,,24.52,21.62,25.66,30.83,32.36,25.93,29,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1918 Mar IDR,,,,,,,,,,
