ALLT AN DRIUCHD,,,,,,,,,,,,
Grid ref,NN679307,Long,-4.144774,Lat,56.449901,,,,,,,
Station no,5544/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,-999.00,4.50,3.30,3.20,3.10,4.00,10.20,5.00,4.38,,,
February,,2.50,3.50,3.50,5.55,2.25,8.23,6.25,2.71,,,
March,,5.40,2.25,4.46,5.30,5.63,4.85,1.35,5.65,,,
April,-999.00,3.55,3.90,3.15,2.95,1.73,2.93,2.93,4.92,,,
May,2.30,2.55,3.55,5.75,3.23,4.47,2.85,3.32,1.69,,,
June,3.30,3.80,3.60,4.75,2.53,3.65,3.45,2.95,3.04,,,
July,4.25,4.50,6.85,2.45,1.15,3.35,4.37,6.13,6.23,,,
August,7.30,4.30,2.85,5.20,1.53,14.53,6.56,5.04,,,,
September,5.25,2.75,6.25,5.85,4.27,9.06,3.25,12.15,,,,
October,2.50,6.55,8.55,13.15,5.73,4.65,3.30,5.00,,,,
November,9.65,2.75,6.45,9.00,2.57,2.50,4.96,2.51,,,,
December,11.50,4.50,10.80,14.85,14.57,9.07,8.05,8.65,,,,
Total,,47.65,61.85,75.31,52.48,64.89,63.00,61.28,,,,
Calc annual,46.05,47.65,61.85,75.31,52.48,64.89,63.00,61.28,28.62,0.00,,
Difference,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
