ALLT A' DRIUCHD,,,,,,,,,,
Grid ref,NN679307,Long,-4.144774,Lat,56.449901,Elevation,1720,ft,,
Station no,5544/9/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.64,4.16
February,,,,,,,,,2.8,8.16
March,,,,,,,,,6.01,3.43
April,,,,,,,,,5.2,7.38
May,,,,,,,,,1.66,4.47
June,,,,,,,,,3.1,2.41
July,,,,,,,,,6.58,4.45
August,,,,,,,,,2.85,5.04
September,,,,,,,,,1.56,4.88
October,,,,,,,,,6.75,6.29
November,,,,,,,,,9.25,8.47
December,,,,,,,,8.65,12.25,7.04
Total,,,,,,,,,62.65,66.18
,,,,,,,,,,
OS spelling is Allt an Driùchd,,,,,,,,,,
(it needed the accent to find it on Gazetteer),,,,,,,,,,
,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5544/9/1,,,,,,,,,
Midas,15315,,,,,,,,,
Hyd Stn,880494,,,,,,,,,
