ALLT AN DRIUCHD,,,,,,,,,,
Grid ref,NN679307,Long,-4.144774,Lat,56.449901,Elevation,1750,ft,,
Station no,5544/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4.5,3.3,3.2,3.1,4,10.2,,4.38,
February,,2.5,3.5,3.5,5.55,2.25,8.23,,2.71,
March,,5.4,2.25,4.46,5.3,5.63,4.85,,5.65,
April,,3.55,3.9,3.15,2.95,1.73,2.93,,4.92,
May,2.3,2.55,3.55,5.75,3.23,4.47,2.85,,1.69,
June,3.3,3.8,3.6,4.75,2.53,3.65,3.45,,3.04,
July,4.25,4.5,6.85,2.45,1.15,3.35,4.37,,6.23,
August,7.3,4.3,2.85,5.2,1.53,14.53,6.56,,,
September,5.25,2.75,6.25,5.85,4.27,9.06,3.25,,,
October,2.5,6.55,8.55,13.15,5.73,4.65,3.3,,,
November,9.65,2.75,6.45,9,2.57,2.5,4.96,,,
December,,4.5,10.8,14.85,14.57,9.07,8.05,,,
Total,,47.65,61.85,75.31,52.48,64.89,63,,,
,,,,,,,,,,
OS spelling is Allt an Driùchd ,,,,,,,,,,
(it needed the accent to find it on Gazetteer),,,,,,,,,,
1951 Dec Estd Deleted,,,,,,,,,,
BR 1952 P() Ja Fe De Estd,,,,,,,,,,
1953 P Mar Estd,,,,,,,,,,
BR 1958 NP unreliable Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5544/9,,,,,,,,,
Midas,1531,,,,,,,,,
Hyd Stn,880493,,,,,,,,,
