SIDCUP-FOOTS-CRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ461713,Long,0.0998642,Lat,51.421888,Elevation,231,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,-999,2.81,0.74,3.58,3.23,1.76,3.68,2.92,1.09,2.76,4.01,2.32,0.97,2.79,1.14,4.91,0.95,1.74,0.37,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,-999,0.53,0.98,1.87,3.92,1.14,1.37,2.4,0.86,1,0.75,2.33,1.39,0.82,1.64,1.62,1.3,3.71,1.9,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,-999,0.87,2.76,1.33,1.5,2.62,1.6,1.66,2.16,1.11,2.09,1.39,0.43,0.48,2.94,2.55,1.06,1.8,0.44,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,-999,0,0.66,0.46,2.57,2.22,1.54,1.21,0.33,2.86,1.07,0.66,1.5,1.17,1.58,2.32,4.56,2.42,1.74,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,-999,1.87,2.71,5.55,3.69,1.89,0.57,3.9,0.67,0.79,4.17,0.96,0.63,1.16,1.02,1.93,3.29,3.48,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,-999,3.8,1.22,1.98,3.54,1.3,0.33,1.36,0.46,2.76,1.62,1.93,2.7,2.71,1.3,0.92,3.17,4.09,3.08,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,-999,0.85,0.45,3.01,1.74,5.18,0.58,0.59,1.41,3.35,2.44,2.2,0.8,4.92,0.37,2.2,1.12,3.23,2.86,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,-999,1.2,1.74,3.57,2.13,2.34,2.47,0.96,1.67,1,1.76,3.06,2.1,1.85,2.6,2.01,6.33,4.14,1.05,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,-999,3.06,3.46,0.14,4.56,1.45,2.5,3.47,2.21,5.02,1.4,1.85,2.74,2.24,2.82,0.94,0.82,3.48,3.76,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,4.58,1.99,1.37,7.36,1.47,1.89,2.03,1.43,3.07,0.99,5.26,3.35,4.11,4.11,1.17,1.58,1.62,0.52,8.33,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
