BEDFORD (HURST GROVE),,,,,,,,,,,,
Grid ref,TL039499,Long,-0.483294,Lat,52.137638,,,,,,,
Station no,1179/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.55,1.40,0.88,0.96,2.15,3.64,0.86,,,,,
February,3.14,0.63,1.82,1.65,1.23,0.47,2.22,,,,,
March,3.07,3.18,0.49,2.14,1.35,0.65,1.37,,,,,
April,3.14,1.75,2.17,0.33,0.54,1.02,0.21,,,,,
May,2.28,1.89,1.54,2.78,3.85,0.55,,,,,,
June,0.82,0.98,2.61,2.59,2.13,2.47,,,,,,
July,1.65,0.58,2.03,2.54,0.35,4.26,,,,,,
August,2.79,3.36,3.71,2.98,0.58,3.86,,,,,,
September,1.78,3.47,0.84,1.46,1.88,1.63,,,,,,
October,0.89,2.80,1.82,1.68,1.60,1.43,,,,,,
November,4.00,2.95,1.27,3.91,1.05,0.63,,,,,,
December,1.35,2.12,0.39,2.34,1.98,2.50,,,,,,
Total,27.46,25.11,19.57,25.36,18.69,23.11,,,,,,
Calc annual,27.46,25.11,19.57,25.36,18.69,23.11,4.66,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
