AUCHENCAIRN Daffin Cottage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX798516,Long,-3.87341,Lat,54.844733,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5020/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.6,5.58,3.95,7.92,6.47,4.2,0.79,9.47,5.68,4.95,4.55,6.54,4.36,9.79,3.32,3.33,5.18,5.13,3.05,4.33,4.24,4,5.66,5.57,1.92,5.41
February,,,,,4.7,1.97,6.35,3.23,5.35,1.07,2.61,2.21,2.91,1.36,5.4,3.2,1.01,3.28,2.86,4.34,2.99,1.02,1.34,5.68,1.89,1.15,3.91,4.39,1.72,4.96
March,,,,,1.28,3.07,1.87,3.86,3.31,5.36,3.25,4.56,1.09,0.27,3.28,3.14,6.3,4.27,2.75,5.33,3.61,3.12,0.98,3.43,2.81,2.85,4.28,1.47,3.05,2.47
April,,,,,3.38,0.93,4.27,0.72,2.12,2.31,1.87,1.76,2.61,2.75,2.43,1.56,5.54,3.13,4.56,4.12,2.44,2.53,3.33,2.08,3.31,1.21,2.42,1.16,3.5,4.99
May,,,,,0.72,1.42,1.55,6.17,0.2,0.73,3.56,3.73,4.43,2.34,4.88,1.07,6.16,2.87,1.7,2.19,2.28,3.25,2.62,3.37,4.41,2.47,4.27,3.84,1.02,2.41
June,,,,,4.35,4.09,3.44,7.55,2.56,1.01,0.38,0.95,2.99,3.86,3.94,3.7,3.68,5.19,0.96,4.25,1.13,2.45,1.23,3.98,4.13,2.29,2.32,3.94,3.93,2.43
July,,,,,2.4,3.94,5.09,9.65,4.25,4.58,4.71,2.61,2.54,4.68,3.56,4.11,4.97,2.88,4.59,4.31,3.49,3.22,5.74,5,3.84,6.99,3.48,4.38,3.65,5.66
August,,,,,3.05,3.41,3.11,4.31,1.51,0.84,6.13,4.15,5.67,4.08,1.42,5.26,0.25,6.48,3.43,8.89,6.38,6.29,3.91,5.79,2.05,10.22,3.6,5.24,0.83,4.79
September,,,,,5.99,6.63,4.41,3.82,2.23,3.35,2.35,3.18,2.56,5.37,5.45,7.77,4.03,7.97,1.8,9.81,5.47,2.74,5.61,6.6,3.25,5.22,4.62,5.04,2.42,4.93
October,,,,,6.99,4.97,5.42,9.6,3.61,4.7,5.01,4.14,7.44,5.53,5.57,0.86,1.56,6.33,6.5,3.49,0.38,5.15,3.92,10.11,3.1,3.94,5.11,4.91,5.08,4.58
November,,,,0.87,6.81,8.44,2.01,10.36,6.8,4.72,2.36,0.94,3.83,8.9,0.39,8.5,6.99,6.98,4.86,4.32,8.91,2.98,8.44,11.8,2.93,1.88,3.39,3.64,9.71,7.62
December,,,,7.49,4.35,7.53,4.64,4.12,2.43,5.78,2.18,7.11,2.86,5.67,3.28,4.4,2.7,5.55,8.95,1.52,8.01,5,3.78,5.8,8.23,5.56,4.67,5.82,8.58,4.75
Total,,,,,45.62,51.98,46.11,71.31,40.84,38.65,35.2,44.81,44.61,49.76,44.15,50.11,47.55,64.72,46.28,55.9,50.27,42.88,43.95,67.97,44.19,47.78,47.73,49.4,45.41,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sometime during 1947 the gauge was moved 1/3 mile east to Daffin Cottage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
