MACCLESFIELD-TOWN-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ917737,Long,-2.1258819,Lat,53.260235,Elevation,500,ft.,,,,,,,,,,,,
Station no,RR2008,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2.89,3.84,2.55,3.09,2.33,,4.46,,,,,,,
February,,,,,,,3.15,2.9,2.21,3.72,1.35,,3.15,,,,,,,
March,,,,,,,2.74,2.03,4.14,1.67,2.13,,3.05,,,,,,,
April,,,,,,,1.09,4.33,3.09,1.91,2.27,,4,,,,,,,
May,,,,,,,1.83,1.9,1.57,3.21,1.47,,3.21,,,,,,,
June,,,,,,,3.99,2.13,0.25,1.36,1.88,,,,,,,,,
July,,,,,,,3.37,4.88,0.52,1.14,1.44,,6.01,,,,,,,
August,,,,,,,5.24,2.03,3.55,2.97,1.62,,3.51,,,,,,,
September,,,,,,,5.48,3.05,1.68,6.55,2.98,,5.16,,,,,,,
October,,,,,,,2.64,3.23,5.11,2.79,7.34,,6.29,,,,,,,
November,,,,,,,4.88,1.69,2.44,4.91,2.18,,3.78,,,,,,,
December,,,,,,,2.98,4.49,7.75,4.3,2.77,,4.29,,,,,,,
Total,,,,,,,40.28,36.5,34.86,37.62,29.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Macclesfield Town Hall. Stated altitude of 425 is 75 ft. too low. The Town Hall was built in 1824 and has been in use ever since then so unlikley for the gauge to be anywhere else,,,,,,,,,,,,,,,,,,,,
"June 1872 reading is 9.68 but the gauge ran over therefore removed, the annual total was 56.59",,,,,,,,,,,,,,,,,,,,
