BISHOPS-CASTLE-HIGH-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO322883,Long,-2.999926,Lat,52.488384,Elevation,596,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2273/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.32,0.84,4.84,1.66,1.14,1.94,2.91,0.68,3.52,4.61,1.25,4.68,1.65,1.57,3.04,3.54,4.47,3.44,4.87,1.66,3.07,2.88,3.8,3.72,,,,2.03,3.91,2.21,3.28,1.16,4.08,4.43,4.99,6.07,3.01,3.91,3.54,6.24,2.73,2.79,,,,,
February,,,,,4.65,1.43,2.7,1.87,1.91,1.05,3.68,2.02,1.51,1.64,3.76,6.29,4.7,1.17,2.55,2.68,1.81,0.34,4.02,8.14,0.35,3.68,2.11,2.49,,,,3.2,0.2,3.84,0.26,2.92,2.1,5.03,0.72,2.17,2.86,3.37,0.77,2.11,1.25,2.07,,,,,
March,,,,,1.59,4.4,1.75,1.59,4.24,3.38,1.12,1.85,4.68,5.64,3.15,0.6,4.11,2.61,1.68,5.57,4.07,2.29,3,1.52,1.37,1.31,0.65,2.86,,,,0.56,2.98,2.3,2.68,0.78,2.38,2.79,0.28,2.14,1.99,2.94,2.57,0.88,0.53,0.92,,,,,
April,,,,,1.41,2.72,1.16,2.84,3.37,2.6,2.25,1.29,0.29,4.92,1.22,1.58,1.55,2.01,1.89,2.08,4.91,1.24,3.32,2.13,4.02,2.13,2.86,1.77,,,,3.15,3.84,0.6,3.13,4.59,2.35,1.56,0.15,2.27,3.17,1.5,1.95,1.29,1.32,1.47,,,,,
May,,,,,2.74,0.86,2.29,2.88,2.08,1,2.04,0.94,1.61,4.12,1.06,2.74,3.66,3.96,2.21,0.55,2.58,1.7,1.29,2.38,4.25,3.58,2.56,1.16,,,,5.49,4.6,1.6,1.61,0.66,1.03,1.28,2.07,0.81,2.17,2.57,4.5,3.19,1.47,3.11,,,,,
June,,,,,1.16,2.3,2.08,3.73,1.65,3.4,2.79,2.55,5.03,1.46,2.14,1.15,1.73,2.2,0.98,1.01,2.34,0.55,1.11,0.61,2.38,0.03,1.68,4.39,,,,3.47,0.63,2.65,1.67,3.32,3.5,0.75,2.42,1.3,0.91,1.63,0.68,1.78,1.77,2.61,,,,,
July,,,,,3.4,1.63,0.55,4.21,2.7,2.37,2.66,1.15,2.5,0.72,4.81,5.29,1.33,1.55,3.5,3.14,4.66,1.26,4.81,3.1,5.55,2.14,2.55,2.55,,,,2.64,3.17,1.8,1.83,0.52,3.71,2.34,2.7,6.4,3.38,2.25,2.26,1.47,1.24,2.73,,,,,
August,,,,,3.95,4.36,2.13,3.21,3.9,1.84,3.95,1.64,6.72,1.83,3.25,3.69,1.97,5.47,1.47,2.54,1.04,3.48,2.66,3.41,3.12,3.17,2.45,5.22,,,,4.91,1.7,0.89,2.22,1.15,0.44,0.64,2.9,1.48,0.31,4.16,2.92,1.69,2.05,,,,,,
September,,,,,1.62,1.12,0.65,0.64,2.35,2.91,0.55,2.36,0.7,2.52,1.13,0.67,1.93,1.56,6.41,1.68,2,1.06,2.24,2.37,3.43,3.37,1.47,3.68,,,,2.56,2.31,0.77,1.69,4.36,3.6,1.87,1.12,0.86,1.46,0.98,1.94,3.35,3.83,,,,,,
October,,,,,0.72,2.11,4.99,6.68,2.15,4.51,4.01,3.07,3.58,6.12,2.15,3.53,6.14,3.9,1.79,2.63,4.11,1.71,1.19,6.2,3.97,3.68,2.89,2.7,,,,0.79,4.96,5.11,2.25,3.76,1.72,3.36,4.21,2.97,3.66,2.63,1.46,4.78,4.71,,,,,,
