RATHO INGLISTON,,,,,,,,,,
Grid ref,NT144727,Long,-3.371954,Lat,55.9397,Elevation,117,ft,,
Station no,RR8697,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,1.63,5.82,2.72,
February,,,,,,,3.19,2.01,1.15,
March,,,,,,,4.47,1.6,0.72,
April,,,,,,,2.91,3.54,1.56,
May,,,,,,,1.02,2.36,2.95,
June,,,,,,,2.24,2.1,1.89,
July,,,,,,,2.23,4.71,0.71,
August,,,,,,,3.05,7.52,3.12,
September,,,,,,,3.88,1.48,2.87,
October,,,,,,,1.2,2.66,2.2,
November,,,,,,,3.11,2.06,2.67,
December,,,,,,,7.16,2.2,2.3,
Total,,,,,,,36.09,38.06,24.86,
