"NETHER CAIRN",,,,,,,,,,,,
Grid ref,NS496516,Long,-4.396850,Lat,55.734374,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.00,3.00,6.70,4.60,5.10,4.40,7.50,6.00,6.70,7.65,,
February,1.50,1.70,0.90,9.05,3.00,3.50,4.70,5.80,4.50,3.00,,
March,0.20,1.90,4.60,8.10,2.60,5.40,4.85,7.60,8.15,3.95,,
April,3.00,2.80,1.10,1.95,4.10,3.50,3.10,3.90,2.25,5.30,,
May,3.50,1.20,2.80,2.50,3.50,2.60,6.40,6.90,3.70,3.05,,
June,3.80,2.00,1.55,2.15,3.20,1.40,1.60,5.80,3.70,4.15,,
July,4.10,0.80,4.50,5.15,4.10,4.30,4.40,3.90,3.95,5.75,,
August,5.30,4.90,3.55,7.40,7.60,5.20,6.90,6.50,3.90,4.25,,
September,5.00,3.70,4.10,5.90,7.60,4.05,2.50,1.90,8.50,2.60,,
October,5.00,4.50,3.25,7.90,3.30,3.80,7.65,8.85,2.15,9.60,,
November,5.70,4.00,2.90,3.20,3.40,5.60,6.40,4.50,5.00,3.90,,
December,8.20,5.70,4.50,5.70,5.60,5.70,6.40,8.50,6.40,8.00,,
Total,53.30,36.20,40.45,63.60,53.10,49.45,62.40,70.15,58.90,61.20,,
Calc annual,53.30,36.20,40.45,63.60,53.10,49.45,62.40,70.15,58.90,61.20,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
