WITNEY-HAILEY-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SP353128,Long,-1.4893526,Lat,51.812724,Elevation,365,ft,,,,,,,,,,,,
Station no,RR8130,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,,0.73,4.66,5.2,0.55,,,,,
February,,,,,,,,,,,,1.56,3.4,1.5,2.45,,,,,
March,,,,,,,,,,,,1.92,5.09,3.83,4.25,,,,,
April,,,,,,,,,,,,1.14,0.15,3.1,1.01,,,,,
May,,,,,,,,,,,,2.15,2.28,3.2,1.39,,,,,
June,,,,,,,,,,,,1.68,3.67,0.6,2.61,,,,,
July,,,,,,,,,,,,0.34,3.02,1.34,4.11,,,,,
August,,,,,,,,,,,,0.95,5.84,0.71,2.58,,,,,
September,,,,,,,,,,,,0.77,1.02,4.2,1.29,,,,,
October,,,,,,,,,,,,4.11,2.51,4.49,2.72,,,,,
November,,,,,,,,,,,,2.95,0.42,3.5,4.09,,,,,
December,,,,,,,,,,,,4.28,4.79,2.1,5.54,,,,,
Total,,,,,,,,,,27.77,34.47,22.58,36.85,33.77,32.59,,,,,
