"EYEMOUTH BERWICKSHIRE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,,
January,,,,1.38,,,,,,,,
February,,,,1.76,,,,,,,,
March,,,,0.41,,,,,,,,
April,,,,1.60,,,,,,,,
May,,,,3.08,,,,,,,,
June,,,,1.60,,,,,,,,
July,,,,2.26,,,,,,,,
August,,,,1.02,,,,,,,,
September,,,,1.26,,,,,,,,
October,,,,3.74,,,,,,,,
November,,,,1.10,,,,,,,,
December,,,,2.01,,,,,,,,
Total,,,28.43,21.22,,,,,,,,
Calc annual,0.00,0.00,0.00,21.22,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,28.43,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
