HOUGHTON GRANGE,,,,,,,,,,,,
Grid ref,TL295720,Long,-0.100986,Lat,52.330815,,,,,,,
Station no,RR6607,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.01,2.98,0.90,0.98,0.94,,
February,,,,,,1.04,1.78,0.90,1.01,0.39,,
March,,,,,,2.04,1.73,0.74,2.03,3.21,,
April,,,,,,1.31,0.53,2.20,2.58,1.51,,
May,,,,,,1.37,1.47,2.97,1.77,1.27,,
June,,,,,,2.27,3.82,1.21,0.99,4.29,,
July,,,,,,0.99,0.47,1.79,3.31,3.45,,
August,,,,,,2.77,0.92,1.91,2.28,2.37,,
September,,,,,,2.01,0.89,0.75,1.75,3.16,,
October,,,,,,1.22,3.40,3.51,1.20,3.67,,
November,,,,,,1.79,3.61,2.47,0.79,0.49,,
December,,,,,,0.76,1.88,3.38,1.63,3.40,,
Total,,,,,,18.58,23.48,22.73,20.32,28.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.58,23.48,22.73,20.32,28.15,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,,
