HOUGHTON-GRANGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL296721,Long,-0.099480512,Lat,52.33169,Elevation,114,ft,,,,,,,,,,,,
Station no,RR6607,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.01,2.98,0.9,0.98,0.94,1.52,1.32,3.37,2.28,,,,,,
February,,,,,,1.04,1.78,0.9,1.01,0.39,2.17,0.89,1.43,0.75,,,,,,
March,,,,,,2.04,1.73,0.74,2.03,3.21,0.78,1.56,2.3,2.51,,,,,,
April,,,,,,1.31,0.53,2.2,2.58,1.51,2.07,0.87,0.1,1.95,,,,,,
May,,,,,,1.37,1.47,2.97,1.77,1.27,2.99,0.81,1.8,2.15,,,,,,
June,,,,,,2.27,3.82,1.21,0.99,4.29,1.19,2.14,3.93,0.79,,,,,,
July,,,,,,0.99,0.47,1.79,3.31,3.45,2.09,0.17,4.05,1.41,,,,,,
August,,,,,,2.77,0.92,1.91,2.28,2.37,2.26,1.27,7.07,1.15,,,,,,
September,,,,,,2.01,0.89,0.75,1.75,3.16,0.86,1.55,2.24,2.52,,,,,,
October,,,,,,1.22,3.4,3.51,1.2,3.67,2.11,1.51,2.43,2.8,,,,,,
November,,,,,,1.79,3.61,2.47,0.79,0.49,2.62,2.68,2,1.83,,,,,,
December,,,,,,0.76,1.88,3.38,1.63,3.4,4.77,3.54,2.53,0.96,,,,,,
Total,,,,,,18.58,23.48,22.73,20.32,28.15,25.43,18.31,33.25,21.1,,,,,,
