GLENCAIRN MANSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NX810904,Long,-3.8705,Lat,55.1937,Elevation,330,ft,,,,,,,,,,,,
Station no,RR1764,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,3.9,,3.1,,,,,,,3,11.56,5.15,,
February,,,,,,,3.8,1.7,2.1,,,,,,,2.21,5.67,4.72,,
March,,,,,,,0.5,3.1,0.8,,,,,,,2,4.53,3.46,,
April,,,,,,,2.2,,,,,,,,,0.47,2.88,5.28,,
May,,,,,,,2.7,,,,,,,,,6.3,1.85,3.29,,
June,,,,,,,5,2.4,,,,,,,,0.52,2.87,2.66,,
July,,,,,,,1.9,,,,,,,,,3,2.56,4.57,,
August,,,,,,,3.9,2.2,,,,,,,,5.46,4.45,4.68,,
September,,,,,,,2.4,4,4.7,,,,,,,1.21,7.34,4.25,,
October,,,,,,,3,3.35,8,,,,,,3.3,5.32,3.68,5.63,,
November,,,,,,,1.9,3.35,,,,,,,5.75,5.06,5.3,1.05,,
December,,,,,,,,,,,,,,,5.5,8.47,6.91,3.52,,
Total,,,,,,,,,,,,,,,,43.02,59.6,48.26,,
