"DUNSTER CASTLE GARDENS",,,,,,,,,,,,
Grid ref,SS993434,Long,-3.442076,Lat,51.180933,,,,,,,
Station no,2097/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.29,4.34,0.61,2.31,3.19,3.94,2.50,2.54,4.19,3.51,,
February,4.43,1.14,1.81,3.42,3.01,0.21,5.50,4.12,0.19,3.43,,
March,3.46,2.00,1.00,3.92,1.20,1.20,2.52,1.03,3.03,1.90,,
April,3.30,3.33,2.43,0.26,0.93,1.32,0.09,0.52,3.42,2.74,,
May,3.13,3.45,2.19,1.70,4.39,0.51,1.60,3.17,0.84,1.10,,
June,0.98,1.58,2.28,3.23,3.53,1.42,1.34,3.60,1.66,1.26,,
July,1.43,1.98,2.59,2.51,0.77,2.83,3.22,1.42,2.53,3.57,,
August,3.14,5.87,3.19,2.92,0.68,3.25,2.62,2.73,3.91,2.02,,
September,2.52,3.80,4.59,3.58,1.43,4.66,4.31,4.85,0.11,3.70,,
October,1.77,5.45,2.64,2.92,1.31,1.77,2.64,3.13,4.05,9.79,,
November,7.35,4.63,2.75,8.15,3.51,0.93,2.31,2.12,6.13,4.25,,
December,3.58,3.58,1.58,3.93,5.81,4.53,2.02,3.84,8.29,4.87,,
Total,38.38,41.15,27.66,38.85,29.76,26.57,30.67,33.07,38.35,42.14,,
Calc annual,38.38,41.15,27.66,38.85,29.76,26.57,30.67,33.07,38.35,42.14,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
