DUNSTER-CASTLE-GDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS990436,Long,-3.44643,Lat,51.1827,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2097/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.26,6.01,2.79,4.31,3.94,7.28,2.47,3.59,3.4,3.44,7.41,1.36,1.01,3.29,4.34,0.61,2.31,3.19,3.94,2.5,2.54,4.19,3.51
February,,,,,,,,1.54,1.77,2.45,3.72,0.23,2.52,0.67,2.71,3.53,1.54,1.76,1.75,7.02,4.43,1.14,1.81,3.42,3.01,0.21,5.5,4.12,0.19,3.43
March,,,,,,,,0,2.05,2.18,3.83,1.98,1.3,0.21,1.45,1,6.01,1.7,1.47,1.76,3.46,2,1,3.92,1.2,1.2,2.52,1.03,3.03,1.9
April,,,,,,,,0,2.23,3.94,1.33,2.03,0.82,1.8,0.49,3.27,3.41,2.54,1.97,2.96,3.3,3.33,2.43,0.26,0.93,1.32,0.09,0.52,3.42,2.74
May,,,,,,,,2.37,2.04,1.4,1.85,5.18,3.32,1.01,3.42,5.18,2.61,3.92,2.7,2.44,3.13,3.45,2.19,1.7,4.39,0.51,1.6,3.17,0.84,1.1
June,,,,,,,,1.69,1.66,0.87,1.89,0.22,1.46,2.49,2.21,1.86,2.11,1.72,0.43,1,0.98,1.58,2.28,3.23,3.53,1.42,1.34,3.6,1.66,1.26
July,,,,,,,,3.09,3.99,4.45,1.48,1.6,2.17,1.2,3.13,1.9,1.65,2,2.66,3.57,1.43,1.98,2.59,2.51,0.77,2.83,3.22,1.42,2.53,3.57
August,,,,,,,,5.5,2.28,0.18,3.34,3.75,2.4,4.25,1.71,5.34,0.81,3.36,2.53,5.35,3.14,5.87,3.19,2.92,0.68,3.25,2.62,2.73,3.91,2.02
September,,,,,,,,1.22,0.75,1.27,0.48,2.04,4.47,2.7,3,4.22,1.39,1.66,3.73,5.24,2.52,3.8,4.59,3.58,1.43,4.66,4.31,4.85,0.11,3.7
October,,,,,,,,4.4,2.51,4.28,2.23,2.74,3.25,4.48,4.52,1.38,0.77,3.73,6.98,1.62,1.77,5.45,2.64,2.92,1.31,1.77,2.64,3.13,4.05,9.79
November,,,,,,,,5.65,7.15,8.61,3.33,1.57,3.35,6.93,1.15,6.48,3.28,1.96,5.2,7.19,7.35,4.63,2.75,8.15,3.51,0.93,2.31,2.12,6.13,4.25
December,,,,,,,,5.14,2.07,2.95,2.34,4.41,2.77,4.61,5.88,4.61,2.64,5.88,2.6,3.52,3.58,3.58,1.58,3.93,5.81,4.53,2.02,3.84,8.29,4.87
Total,,,,,,,,34.86,34.51,35.37,30.13,29.69,35.11,32.82,33.26,42.17,29.66,37.64,33.38,42.68,38.38,41.15,27.66,38.85,29.76,26.57,30.67,33.07,38.35,42.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First observer lived in Church St but was a gardener and unknown where he worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS NGR matches distances on sheet and puts gauge near church not the castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But nowhere here except on the south side of the castle grounds is low enough to be 100 ft 135ft is lowest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 July 24 Inspection Very good exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Observer has tested gauge and finds it sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 9032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
