"MULLINGAR, BALLYNEGALL GDNS",,,,,,,,,,,,
Grid ref,IN4400058900,Long,-7.336386,Lat,53.578344,,,,,,,
Station no,6140,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.43,1.17,2.82,2.53,,
February,,,,,,,2.78,2.84,2.62,1.29,,
March,,,,,,,2.70,3.45,3.35,3.17,,
April,,,,,,,1.87,2.14,2.11,4.66,,
May,,,,,,,3.51,3.59,3.25,1.57,,
June,,,,,,,1.70,4.86,1.23,2.20,,
July,,,,,,,2.70,2.85,2.28,3.70,,
August,,,,,,,4.67,3.11,2.93,1.22,,
September,,,,,,,1.24,1.64,5.54,2.89,,
October,,,,,,,5.84,3.86,1.71,4.94,,
November,,,,,,,2.13,2.69,2.56,2.38,,
December,,,,,,,2.94,3.45,3.68,4.42,,
Total,,,,,,,36.51,35.65,34.08,34.97,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,36.51,35.65,34.08,34.97,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
