"MULLINGAR, BALLYNEGALL - House and Gardens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IN4400058900,Long,-7.336386,Lat,53.578344,Elevation,365,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,4.43,1.17,2.82,2.53,3.67,1.89,4.81,,1.66,3.56,2.87,1.33,2.97,3.39,6.14,4.59,3.3,3.61,4.7,3.39,5.74,3.52,5.39,2.08,6.7,3.13,4.35,3.31,3.74,1.76,4.47,4.72,4.54,5.03,3.54
February,,,,,,,2.78,2.84,2.62,1.29,4.95,3.67,3.53,,3.87,4.52,3.77,2.34,4.87,1.86,3.88,0.77,3.39,5.28,1.34,4.76,2.87,3.04,4.4,4.21,0.56,3.41,0.16,2.93,0.29,4.6,1.96,4.29,1.89,3.17,3.56
March,,,,,,,2.7,3.45,3.35,3.17,1.71,2.1,4.2,,3.75,0.8,1.96,2.44,2.1,2.39,2.91,3.31,2.53,1.64,1.28,0.53,1.66,3.93,3.46,0.75,3.72,3.06,1.78,2.73,2.96,2.16,2.31,1.96,1.46,3.12,4.33
April,,,,,,,1.87,2.14,2.11,4.66,2.61,2.62,0.75,,1.83,2.91,4.09,2.11,1.64,2.01,2.99,0.73,3.65,3.08,3.92,3.36,2.04,1.7,1.92,1.07,1.84,3.75,2.53,1.76,1.72,3.5,2.03,2.53,0.23,2.19,4.11
May,,,,,,,3.51,3.59,3.25,1.57,2.85,2.13,1.07,,2.57,0.97,4.24,1.83,2.55,3.34,3.69,2.44,2.19,1.98,3.64,6.62,2.44,1.25,1.68,2.07,1.86,3.46,3.38,2.44,2.12,1.2,1.65,2.11,3.17,1.07,2.57
June,,,,,,,1.7,4.86,1.23,2.2,6.16,4.39,5.45,,1.15,2.34,2.64,2.43,1.87,4.88,1.72,0.09,1.91,1.92,3.26,0.74,3.54,3.1,5.71,2.29,1.37,5.46,0.98,3.36,1.78,5.31,3.42,1.85,4.2,2.07,1.47
July,,,,,,,2.7,2.85,2.28,3.7,3.94,3.26,4.5,,2.69,5.32,2.82,3.36,4.43,1.16,4.32,3.71,3.37,2.44,5.18,3.35,4.9,2.66,2.82,3.46,5.21,4.27,3.69,2.19,1.37,1.23,7.23,4.08,7.16,4.82,4
August,,,,,,,4.67,3.11,2.93,1.22,9.03,2.04,6.41,,6.22,4.78,2.66,7.58,2.35,3.3,1.82,4.88,4.85,5.82,4.43,1.99,4.85,4.5,4.94,5.18,7.41,3.67,1.95,1.87,3.57,2.71,2.11,2.6,3.5,2.03,1.09
September,,,,,,,1.24,1.64,5.54,2.89,0.95,2.45,0.54,,1.45,1.55,1.99,2.11,5.77,2.56,2.22,1.08,2.83,4.14,6.68,2.82,3.05,3.85,2.23,1.45,5.19,2.51,3.71,0.88,4.29,5.76,3.85,4.6,2.57,2.16,2.84
October,,,,,,,5.84,3.86,1.71,4.94,1.48,4.52,3.04,,2.02,3.77,8.11,6.04,4.57,1.52,4.09,2.07,1.71,4.12,4.07,4.56,3.26,3.31,5.57,5.85,6.14,2.27,3.9,2.81,2.97,4.64,2.41,1.64,8.06,1.76,6.61
November,,,,,,,2.13,2.69,2.56,2.38,3.44,5.35,2.59,,4.35,2.02,4.71,3.58,3.49,2.96,3.41,4.58,1.07,3.13,4.36,3.34,5.96,2.72,5.65,5.68,4.58,6.84,2.16,1.54,1.69,4.56,3.49,1.57,5.22,6.7,4.08
December,,,,,,,2.94,3.45,3.68,4.42,4.1,6.13,4.05,,5.88,5.94,3.57,2.32,4.85,6.71,3.46,4.2,5.28,3.29,5.68,2.3,1.08,2.21,4.17,7.91,4.22,3.06,5.58,2.4,5.45,3.13,3.86,2.1,2.86,2.92,4.52
Total,,,,,,,36.51,35.65,34.08,34.97,44.89,40.55,40.94,,37.44,38.48,43.43,37.47,41.46,36.08,40.65,32.45,36.08,40.45,48.54,37.76,41.39,35.79,47.94,42,48.8,44.89,34.17,28.22,31.95,40.56,38.79,34.05,44.86,37.04,42.72
