ALPORT-MOOR-GLETHERING-CLOUGH-NO-40A,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK125936,Long,-1.8132973,Lat,53.43903,Elevation,1640,ft.,,,,,,,,,,,,,
Station no,2703,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,7,3.49,4.07,4.81,3.75,9.58,2.54,7.45,9.76,6.34,4.41,4.92,3.62,,,,,
February,,,,7.02,1.62,5.9,4.09,2.63,5.89,0.89,1.37,6.91,0.79,6.68,0.43,8.72,,,,,
March,,,,2.5,1.02,2.18,2.2,6.61,2.94,1.58,2.5,0.12,3.39,3.29,4.54,2.48,,,,,
April,,,,3.52,2.92,3.14,3.5,6.53,1.96,1.92,3.48,6.54,7.01,2,3.5,4.08,,,,,
May,,,,5.32,6.01,4.42,4.8,1.91,1.41,3.63,2.93,2.81,5.5,2.48,3.37,0.66,,,,,
June,,,,1.54,3.22,0.09,4.61,7.38,5.33,2.14,3.15,7.36,0.98,4.35,1.92,4.53,,,,,
July,,,,6.19,5.65,2.72,4.17,4.06,2.18,3.7,8.96,6.5,5.42,4.32,6.65,2.84,,,,,
August,,,,5,6.04,5.98,4.98,5.84,5.5,5.26,6.46,8.61,1.92,1.17,4.87,2.26,,,,,
September,,,,5.55,5,4.98,3.74,7.63,0.75,2.46,7.22,6.25,5.33,2.07,3.82,7.12,,,,,
October,,,,4.16,6.93,6.01,5.69,5.54,7.68,6.92,7.26,2.41,9.86,7.74,8.74,14.08,,,,,
November,,,,5.17,3.23,3,5.47,6.34,8.58,9.92,5.96,7.13,5.34,3.27,3.48,8.87,,,,,
December,,,,4.91,5.06,5.09,4.25,1.82,4.27,11.03,5.33,3.24,2.78,0.52,7.97,5.21,,,,,
Total,,,,57.88,50.19,47.58,52.31,60.04,56.07,51.99,62.07,67.64,54.66,42.3,54.21,64.47,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is the same as No 40, it was erected as a check gauge and appears to be the same location but not sure why it was given a totally different station No. As for No 40 NGR could be +/- 200m NW or SE",,,,,,,,,,,,,,,,,,,,,
