ALPORT-MOOR-GLETHERING-CLOUGH-NO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK125936,Long,-1.8132973,Lat,53.43903,Elevation,1640,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,5.3,1.3,4,2,,1.9,4.6,4.23,4.34,6,4.15,2.1,2.6,3,4.4,9,4,7.1,3.51,4.06,4.84,3.31,11.3,2.42,7.29,8.92,5.89,4.13,3.98,3.36,,,,,
February,,,,,,,3.2,2.2,3.6,3.9,4.9,4.3,2,1.47,3.07,4.5,5,1.1,4.8,1.4,3.9,0.9,6.01,7.12,1.63,5.94,4.08,2.41,6.08,0.85,1.22,6.39,0.72,5.94,0.36,,,,,,
March,,,,,,,3.5,4.2,3.4,4.2,1.1,3.9,5.2,4.6,5.91,1.74,2.1,2.2,2,3.9,2.7,3.6,3.51,2.51,1.02,2.16,2.1,6.12,2.52,1.42,2.44,0.12,3.28,3.05,3.11,2.49,,,,,
April,,,,,,,1.7,3.4,3,3.3,4.7,3.6,1.5,3.93,2.39,1.8,3.5,1.4,1.55,3.4,7,1.9,4.1,3.54,2.9,3.15,2.76,5.3,1.95,1.85,3.11,6.72,6.8,1.72,3.27,3.37,,,,,
May,,,,,,,4.2,5,3.3,2.8,4,1.94,3.6,2.82,3.1,1.85,2.8,2.6,2.8,1.9,7.2,2.1,1.31,5.3,5.98,4.4,4.4,1.6,1.37,3.51,2.86,2.72,5.28,2.38,2.29,0.61,,,,,
June,,,,,,,1.9,8.4,2.4,5,4.6,3.9,5.1,3.22,5.2,1.48,5.01,2,5.3,2.4,4.6,0.3,3.15,1.54,3.23,0.1,4.38,7.06,5.26,2.7,3.04,7.15,0.89,4,1.76,4.32,,,,,
July,,,,,,,3.7,4,6,6.3,5.6,1,7.4,1.25,3.97,7,3.34,2.25,5.1,4.1,7.7,1.8,5.17,6.2,5.64,2.7,4,3.82,2.23,3.59,7.82,6.24,5.05,3.98,6.38,2.44,,,,,
August,,,,,,,4.9,4.9,4,3.1,7.3,2.8,9.3,2.03,3.37,4.5,2.85,7.7,3.5,4,2,6.6,8.47,5.06,6.03,6,4.76,5.34,6.72,5.09,5.96,8.23,1.79,1.11,3.78,2.15,,,,,
September,,,,,,,2.2,0.8,4.8,3.2,0.7,3.3,3.5,3.15,3.23,1.1,2.86,2.7,11,2.8,3.8,1.5,4.82,5.52,4.98,4.96,3.58,7.25,0.76,2.26,6.78,5.76,4.86,1.98,3.48,5.98,,,,,
October,,,,,,,8,8.3,1.8,6.4,3.1,4.2,4.12,4.68,3.79,3.32,6.65,6.7,3.3,4.1,3,2.6,1.5,4.15,6.91,6,5.56,5.18,7.2,6.59,6.68,2.24,9.03,6.63,7.83,10.41,,,,,
November,,,,,,,6.4,4.8,4,2.4,4,5.2,2.7,4.63,5.66,2.21,4.1,5,1.35,3.6,2.3,2.6,4.01,5.19,3.21,3.01,4.84,5.76,7.86,9.67,5.38,6.87,4.63,3.09,3.32,8.11,,,,,
December,,,,,,,3.7,4.1,2.6,6.1,7,7,7.66,3.09,7.3,7.3,4.2,1,6,7.1,3.8,8.4,3.5,4.9,5.01,5.08,3.55,1.69,4.16,10.42,4.87,2.98,2.32,0.44,7.03,4.07,,,,,
Total,44.9,37.7,42,57.3,36.7,44.1,48.7,51.4,42.9,48.7,,43.04,56.68,39.1,51.33,42.8,46.56,36.75,49.3,41.7,52.4,41.3,49.55,58.13,50.05,47.56,48.85,54.84,57.41,50.37,57.45,64.34,50.54,38.45,46.59,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is at the head of Glethering Clough at the stated altitude. NGR could be +/- 200m in NW or SE direction. There is a note about moving to less exposed location but no mention of this happening.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
