OXFORD RADCLIFFE OBSERVATORY ROOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP509072,Long,-1.263901,Lat,51.761179,Elevation,232,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,
January,2.3,2.17,1.54,1.14,1.21,1.32,3.54,1.53,0.89,1.41,1.44,3.01,4.75,2.03,1.75,0.27,2.37,2.62,0.63,0.66,2.7,0.6,2.14,2.68,0.91,2.41,2.07,2.15,2.95,3.41,0.91,,,1.82,2.08,3.11,1.41,3.97,1.26,2.53,,,,,,,,,,,,,,
February,1.32,0.95,1.85,1.48,2.96,1.02,1.04,1.39,2.88,1.64,0.75,0.61,0.83,0.74,0.65,1.13,1.14,0.25,1.42,1.46,0.9,1.72,0.24,0.53,1.17,1.79,1.9,1.07,1.44,1.98,1.74,,,0.97,1.52,1.28,2.54,1.14,1.23,3.95,,,,,,,,,,,,,,
March,0.31,1.85,1.37,1.21,1.46,1.12,1.63,0.87,2.36,0.76,0.17,3.16,0.56,0.77,0.38,1.73,0.78,1.3,0.57,1.04,1.5,1.34,4.31,0.56,1.68,0.69,1.46,2.1,1.31,1.16,1.37,,,2.04,0.21,1.01,2.43,1.52,0.46,0.63,,,,,,,,,,,,,,
April,0.58,1.95,0.19,1.48,0.22,0.97,3.64,0.93,2.34,2.64,2.29,1.07,0.84,1.86,0.64,0.29,2.03,1.64,2.85,2.09,0.52,0.6,1.88,1.13,1.23,0.67,1.61,1.88,1.35,1.07,0.34,,,0.21,1.08,1.12,1.79,1.87,2.01,2.19,,,,,,,,,,,,,,
May,2.13,1.65,1.39,4.39,0.25,1.76,1.26,2.82,0.98,3.1,2.39,0.73,1.49,1.91,2.96,1.66,3.68,0.96,2.01,1.34,2.43,0.9,3.09,0.86,1.72,1.76,1.44,2.1,0.58,2.89,1.02,,,1.96,1.26,1.56,0.63,1.82,4.4,1.83,,,,,,,,,,,,,,
June,0.94,2.63,2.78,2.31,0.97,2.53,0.91,2.01,3.21,1.03,1.69,1.59,6.56,2.99,1.75,1.39,2.01,2.54,1.35,1.75,4.46,2.95,2.2,2.84,0.84,2.94,2.82,1.51,1.03,1.39,0.59,,,2.42,0.56,2.8,1.77,0.84,1.71,4.19,,,,,,,,,,,,,,
July,1.3,2.65,0.99,2.04,1.89,2.91,1.94,0.87,1.54,2.1,5.08,3.54,2.5,2.97,1.79,4.29,0.55,2.64,1.88,2.41,1.98,4.62,1.58,0.54,0.35,2.38,1.7,3.29,2.02,1,0.77,,,2.01,0.43,4.21,0.72,3.19,1.07,3.03,,,,,,,,,,,,,,
August,1.82,3.53,1.15,2.98,1.75,2.67,2.91,0.89,4.49,1.04,1.19,2.19,4,2.93,0.97,1.45,2.46,2.95,1.23,3.1,3.69,0.54,1.33,2.2,0.64,2.76,2.32,1.98,3.33,1.31,2.27,,,2.33,1.51,1.71,2.32,3.05,4.79,4.72,,,,,,,,,,,,,,
September,2.79,5.1,2.5,1.01,1.53,2.2,1.69,2.16,4.17,3.25,1.88,0.36,2.47,1.66,0.37,2.11,2.63,3.36,2.17,2.97,2.21,1.79,2.02,2.31,2.6,0.1,4.8,1.4,3.99,4.19,1.1,,,1.53,2.95,1.71,5.3,1.86,1.16,2.74,,,,,,,,,,,,,,
October,0.91,3.55,0.54,3.84,2.77,1.26,5.36,3.94,4.53,1.3,1.31,2.42,2.52,3.54,1.84,4.32,2.13,3.47,1.64,2.37,1.5,1.52,2.68,2.36,1.18,4.63,1.76,2.27,2.12,1.02,2.43,,,2.27,2.94,6.53,0.92,1.44,2.64,0.69,,,,,,,,,,,,,,
November,3.33,3.32,5.67,1.92,2.44,1.9,1.25,1.84,0.44,1.29,1.77,0.66,6.11,1.69,0.99,0.31,0.77,1.24,0.63,1.68,2.92,2.25,0.72,1.44,2.01,2.24,1.15,0.71,1.08,2.27,0.89,,,1.42,2.1,3.42,3.07,3.47,1.59,0.55,,,,,,,,,,,,,,
December,0.69,1.91,1.67,0.4,0.35,1.75,0.69,2.9,3.08,2.28,1.91,0.98,2.92,0.26,0.79,0.94,1.78,0.54,1.98,1.48,2.07,1.46,1.2,0.8,0.52,1.53,1.53,1.06,3.9,3.15,1.81,,,0.43,1.71,0.45,4.65,1.54,1.2,0.55,,,,,,,,,,,,,,
Total,18.42,31.26,21.64,24.2,17.8,21.41,25.86,22.15,30.91,21.84,21.87,20.32,35.55,23.35,14.88,19.89,22.33,23.51,18.36,22.35,26.88,20.29,23.39,18.25,14.85,23.9,24.56,21.52,25.1,24.84,15.24,,,19.41,18.35,28.91,27.55,25.71,23.52,27.6,,,,,,,,,,,,,,
