CORBRIDGE MONKS HOLME,,,,,,,,,,
Grid ref,NY991642,Long,-2.0155911,Lat,54.972415,Elevation,127,ft,,
Station no,RR8220,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.54,2.51,3.87,1.71,1.89,,,,
February,,1.21,2.4,0.77,1.62,2.12,,,,
March,,2.77,1.57,3.68,2.03,2.33,,,,
April,,1.54,0.37,2.51,0.76,0.6,,,,
May,,0.72,2.38,1.79,1.17,2.04,,,,
June,,3.52,4.23,1.61,2.71,0.87,,,,
July,,0.95,2.55,1.63,2.08,2.8,,,,
August,3.24,1.95,5.28,1.67,2.16,2.91,,,,
September,0.51,2.96,2.08,3.82,1.23,1.69,,,,
October,1.94,2.71,2.69,3.09,2.14,0.73,,,,
November,2.16,3.27,1.75,1.63,4.14,1.36,,,,
December,2.12,2.85,2.71,1.68,5.89,5.49,,,,
Total,,25.99,30.52,27.75,27.64,24.83,,,,
