BROMSGROVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO958706,Long,-2.06305,Lat,52.33347,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2.9,1.87,0.5,0.95,1.85,0.94,3.53,2.82,0.87,0.8,1.92,3.06,1.27,3.9,,,,,2.24,,,,,
February,,,,,,,1.92,1.58,0.78,1.57,-999,2.89,0.72,0.31,1.21,1.53,1.93,1.23,1.86,2.48,,,,,3.26,,,,,
March,,,,,,,1.18,1.5,0.54,1.8,-999,2.94,3.42,1.01,2.36,1.37,1.62,2.33,2,2.18,,,,1.82,1.08,,,,,
April,,,,,,,2.56,2.06,3.9,1.81,0.7,0.84,2.01,1.19,1.14,0.68,1.2,2.22,2.06,1.67,,,,0.86,1.79,,,,,
May,,,,,,,2.59,1.34,1.67,1.1,3.2,0.53,3.82,0.63,1.8,2.06,2.2,1.52,2.04,4.48,,,,2.27,2.24,,,,,
June,,,,,,2.73,1.92,3.16,1.52,1.78,6.01,2.36,1.84,3.99,1.3,1.35,3.26,1.98,0.3,0.89,,,,3.13,0.86,,,,,
July,,,,,,5.31,2.03,2.62,1.55,0.9,1.8,4.64,1.42,0.65,0.85,3.16,2.47,2.48,0.54,1.34,,,,1.96,1.57,,,,,
August,,,,,,1.63,4.7,2.52,2.87,3.85,4.66,0.62,1.32,3.25,0.63,4.96,2.72,2.9,6.02,1.39,,,,3.03,1.69,,,,,
September,,,,,,0.88,2.76,3.69,3.21,2.35,2.37,3.33,3.72,3.19,2.84,0.14,5.17,2.81,2.65,6.12,,,,1.42,3.42,,,,,
October,,,,,,5.72,2.43,2.3,2.05,2.4,1.78,1.41,2.89,2.89,1.85,6.03,2.75,2.41,1.97,1.83,,,,2.17,2.45,,,,,
November,,,,,,0.75,0.87,1.04,0.78,2.5,2.3,2.84,0.69,2.64,2.54,2.63,1.86,1.21,1.73,2.17,,,,1.45,2.9,,,,,
December,,,,,,0.96,2.3,0.55,1.46,1.34,2.15,2.61,1.47,1.17,2.32,1.2,1.66,1.96,6.01,2.55,,,,0.63,2.43,,,,,
Total,,,,,,,28.16,24.23,20.83,22.35,29.96,25.95,26.85,23.74,19.71,25.91,28.76,26.11,28.45,31,,,,,25.93,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lived on High Street; NGR Market Place as nearest in elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
