PETERHEAD (EARLY),,,,,,,,,,,,,,,,,,,,
Grid ref,NK 136 461,Long,-1.775281,Lat,57.5048,Elevation,24,ft,,,,,,,,,,,,
Station no,RR2266,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,,,,,,,,,,2.92,1.64,,,,,,,,,
February,,,,,,,,,,2.45,1.54,,,,,,,,,
March,,,,,,,,,,1.11,2.5,,,,,,,,,
April,,,,,,,,,,3.02,1.83,,,,,,,,,
May,,,,,,,,,1.06,1.66,,,,,,,,,,
June,,,,,,,,,0.98,2.88,,,,,,,,,,
July,,,,,,,,,3.38,4.14,,,,,,,,,,
August,,,,,,,,,2.05,2.85,,,,,,,,,,
September,,,,,,,,,3.56,3.45,,,,,,,,,,
October,,,,,,,,,5.2,1.39,,,,,,,,,,
November,,,,,,,,,3.07,2.96,,,,,,,,,,
December,,,,,,,,,3.44,2.75,,,,,,,,,,
Total,,,,,,,,,,31.58,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location Low Confidence,,,,,,,,,,,,,,,,,,,,
Based on centre of Peterhead 1843 map,,,,,,,,,,,,,,,,,,,,
