CATHEDINE RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO144239,Long,-3.2453,Lat,51.9071,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.83,0.71,2.26,0.65,6.36,4.36,2.62,1.6,4.47,4.91,1.22,5.64,1.14,1.04,1.21,3.32,0.64,3.53,5.06,1.94,3.19,1.63,1.14,3.94,4.15,4,3.32,3.11,1.71,4.83,3.44,3.98,4.78,5.87,1.2,6.99,2.1,5.61,3.35,3.76,0.63,5.2,5.4,4.21,6.19,2.31,4.7,3.58,8.32,3.68,3.57,5.48,3.83,7.63,1.19,0.75,4.17,3.51,1.14,2.33,4.1,4.31,4.07,3.52,6,4.55
February,,,,,,0.14,0.69,3.13,1.94,6.22,6.98,1.02,1.7,3.8,4.96,0.74,2.61,1.68,1,0.39,4,1.73,3.41,2.51,6.13,7.24,5.46,1.06,2.46,3.01,1.09,0.11,3.88,7.15,0.53,4.51,1.97,3.69,2.85,0.64,0.52,1.61,0.18,3.31,0.38,2.47,2.39,3.92,0.9,2.82,2.83,3.83,0.29,3.18,0.64,3.56,2.9,1.46,2.41,1.53,6.26,4.52,0.66,1.5,3.45,1.8,0.29,5.16,6.46,0.42,5.54
March,,,,,,3.24,3.52,5.35,1.05,1.68,1.6,4.37,1.52,7.39,2.68,5.54,2.1,1.1,3.27,3.57,1.13,1.33,6.3,6.73,4.51,0.43,3.15,2.52,1.89,4.42,5.23,2.9,3.53,1.22,1.5,0.76,0.22,3.42,4,0.53,2.91,0.48,1.66,2.65,2.25,0.62,3.02,2.9,0.06,1.9,2.77,3.08,3.36,0.65,0.28,1.88,0.67,8.57,1.92,0.85,2.95,4.27,2.17,1.92,3.57,2.55,1.49,3.18,1.09,3.41,2.04
April,,,,,,2.79,0.74,2.95,2.57,3.2,1.51,3.91,2.81,1.87,1.87,2.95,1.38,3.07,1.6,2.8,2.75,1.26,0.17,6.28,1.38,1.01,1.22,1.5,2.17,1.12,5.35,0.6,2.59,2.24,2.91,2.22,2.6,1.24,0.8,0.65,3.74,2.65,2.74,0.59,2.6,4.46,1.68,2.15,0.32,2.98,3.86,1.05,2.07,0.83,1.54,1.87,1.57,5.13,2.6,3.07,1.91,2.78,3.3,3.77,0.39,1.21,0.95,0.1,0.63,4.17,3.51
May,,,,,,0.36,0.67,1.51,4.27,2.13,3.74,1.1,2.27,3.02,2.54,1.27,1.94,4.1,2.12,1,1.28,2.03,1.27,2.29,2.05,3.09,3.74,3.85,1.77,0.19,2.35,1.06,0.55,1.39,3.62,3.87,1.64,1.48,0.93,3.52,1.07,3.25,4.58,1.61,1.53,1.01,1.76,1.36,2.92,0.78,2.4,2.65,5.26,4.22,1.35,3.47,4.32,2.76,2.96,4.07,1.54,2.97,4.19,2.14,2.4,4.24,0.81,2.44,3.07,1.73,1.65
June,,,,,,0.93,3.13,2.57,1.59,1.67,1.26,2.15,3.92,2.26,1.2,3.21,2.45,2.81,1.35,3.69,7.17,2.92,3.81,0.9,2.21,0.88,2.08,2.93,1.25,1.32,3.5,0.09,0.68,0.42,1.34,0,1.7,3.25,3.24,2.42,1.25,3.7,1.12,2.74,1.25,3.38,3.22,0.6,1.73,2.48,0.8,1.64,0.27,3.33,2.19,3.81,4.09,2.04,3.88,0.47,1.59,1.09,3.26,1.46,4.46,4.36,2.36,1.05,2.98,1.63,1.93
July,,,,,,3.71,1.93,2.6,0.82,0.38,1.8,1.97,1.46,2,2.85,0.81,0.71,2.71,3.21,1.68,2.07,0.49,4.61,0.97,4.61,4.58,1.05,2.34,3.98,1.22,5.07,1.13,3.93,1.72,4.8,2.57,2.65,3.41,2.43,2.25,3.39,2.41,2.74,1.54,1.05,0.36,5.59,3.3,2.85,7.83,2.91,2.67,2.04,1.62,2.09,2.85,1.77,1.95,1.65,0.71,3.87,0.77,1.57,2.89,1.61,0.53,3.54,3.35,2.26,3.08,3.28
August,,,,,,2.65,1.74,4.71,3.66,1.13,3.56,2.62,3.19,4.95,1.8,4.91,2.25,2.48,3.61,1.27,5.28,1.38,8.5,1.93,2.22,2.87,2.66,7.99,1.63,2.59,0.94,3.81,2.59,1.93,3.37,4.07,2.39,5.51,3,1.34,2.86,4.29,1.32,0.57,2.82,1.03,0.29,1.14,7.49,2.35,0.19,4.67,5.55,2.35,3.99,3.64,6.42,0.12,3.42,1.24,5.41,3.96,6.75,2.5,3.84,0.88,2.69,3.28,2.95,0.84,3.89
September,,,,,1.51,0.9,7.67,3.79,0.88,2.47,0.92,2.71,2.8,4.54,1.72,1.98,0.82,0.93,2.51,3.19,0.43,1.68,0.34,3.14,1.04,0.86,1.77,2.3,6.64,1.56,3.26,1.27,1.59,2.07,5.39,3.47,1.02,4.54,1.14,1.33,4.31,1.79,3.03,2.11,1.87,4.63,1.92,2.13,1.33,0.63,2.15,1.07,2.5,3.85,2.78,3.18,6.1,2.23,3.39,2.11,4.63,3.43,2.75,3.46,3.6,1.72,3.82,5.42,8.56,0.18,4.54
October,,,,,5.31,3.75,4.95,2.59,5.38,4.44,6.22,2.26,3.23,9.21,0.88,1.51,5.24,7.01,3.22,6.02,3.53,2.81,5.28,7.6,3.03,3.93,7.87,5.1,2.18,1.28,5.01,1.34,1.27,6.47,3.64,4.43,3.45,2.79,7.61,5.65,3.89,0.42,5.81,6.19,2.69,3.15,1.5,3.99,4.48,4.23,5.43,2.77,2.11,3.8,5.84,5.28,1.48,0.79,4.44,8.35,2.14,1.41,5.18,3.38,5.75,2.65,2.1,2.44,4.11,3.57,5.89
