MEOPHAM-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ636691,Long,0.350325,Lat,51.397347,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,0395/9/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.74,5.43,2.52,4.42,1.94,2.64,2.23,5.02,1.55,1.92,1.23,2.1,3.18,1.15,1.18,2.28,2.15,1.02,1.54,2.83,3.77,1.16,2.38,2.26,2.43
February,,,,,,1.75,4.17,0.87,1.49,1.64,1.88,0.78,1.15,1.11,1.33,2.32,1.48,1.8,1.08,4.58,6.34,0.97,1.38,2.05,1.95,0.31,3.09,1.88,0.09,2.09
March,,,,,,1.2,3.61,0.49,1.67,3.47,2.9,3.05,0.39,0.15,1.7,1.51,4.66,0.85,0.68,1.09,3.03,3,0.28,2.76,0.96,0.93,0.94,1.24,1.92,1.61
April,,,,,,2.01,2.26,0.6,2.3,1.64,2.05,1.39,1.18,1.39,0.97,2.04,1.79,1.71,1.47,2.38,3.27,0.98,2.45,0.32,0.21,1.28,0.24,1.75,2.26,0.7
May,,,,,,0.35,2.89,1.69,2.14,1.16,1.57,3,3.04,0.41,2.56,3.85,1.66,1.85,1.37,1.5,2.52,1.2,1.79,1.97,3.78,0.73,1.37,2.15,0.78,2.34
June,,,,,,3.06,3.25,0.41,1.04,0.5,2.62,0.24,1.92,1.11,1.56,2.19,1.76,2.96,1.01,1.58,1.16,1.21,1.78,4.04,1.57,2.25,1.03,3.94,0.87,0.92
July,,,,,,2.78,0.93,1.07,1.62,4.64,1.99,2.46,1.4,1.96,3.4,2.04,2.51,0.89,0.65,2.6,2.98,0.66,3.18,2.31,0.21,4.06,2.94,2.13,1.17,3.19
August,,,,,2.44,0.8,0.98,1.37,3.13,0.05,3.31,1.85,1.29,3.31,1.91,5.11,0.16,3.75,1.6,1.51,3.1,2.74,1.32,2.64,1.05,2.42,2.92,3.68,0.74,3.13
September,,,,,3.16,2.17,1.34,2.62,1.18,1.01,0.34,1.7,2,2.52,0.59,2.79,1.69,1.76,1.08,2.35,2.99,3.77,3.09,1.28,2.25,2.46,2.43,5.9,0.08,4.48
October,,,,,2.69,1.96,2.15,2.6,6.88,3.14,0.88,2.91,2.12,4.16,2.77,1.27,0.22,1.91,7.07,0.34,0.83,2.4,2.45,1.84,3.88,1.1,1.29,2.5,2.41,7.03
November,,,,,5.16,3.94,1.74,2.57,4.4,7.32,3.03,1.7,1.47,4.1,0.37,4.16,0.88,1.7,2.87,5.76,4.01,5.32,1.17,4.63,0.55,0.76,3.77,1.61,3.49,4.1
December,,,,,3.23,2.34,4.57,2.47,1.26,1.34,1.83,2.22,1.89,1.8,2.31,2.22,3.03,3.79,1.29,2.05,2.38,2.32,0.76,1.82,1.71,3.02,2.27,3.13,4.5,2.6
Total,,,,,,27.1,33.32,19.28,31.53,27.85,25.04,23.53,22.87,23.57,21.39,30.73,21.94,26.15,21.32,26.92,34.89,26.72,20.67,27.2,20.95,23.09,23.45,32.29,20.57,34.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Jul estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
