"KILLALOE, CO. CLARE: observer Rev. Mayne - another, short-lived, gauge",,,,,,,,,,
Grid ref,IR7042472789,Long,-8.4393333,Lat,52.805548,Elevation,123,ft,,
Station no,6042,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,2.15,6.17,5.4,,,,,,
February,,3.51,1.36,2.9,,,,,,
March,,7.22,4.61,3.95,,,,,,
April,,1.16,5.33,2.86,,,,,,
May,,0.5,4.07,2.91,,,,,,
June,,4.23,2.99,3.25,,,,,,
July,,6.85,4.54,0.86,,,,,,
August,,8.83,2.42,5.6,,,,,,
September,,7.6,1.98,6.23,,,,,,
October,,3.45,8.07,6.27,,,,,,
November,,5.57,2.96,7.27,,,,,,
December,,2.67,5.35,4.62,,,,,,
Total,,53.74,49.85,52.12,,,,,,
