KILLALOE observer J. Digen,,,,,,,,,,,,,,,,,,,,
Grid ref,IR7049473129,long,-8.438333,Lat,52.808611,Elevation,115,ft,,,,,,,,,,,,
Station no,6042,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,6.06,5.42,2.73,0.86,0.64,3.67,8.4,6.07,3.95,,,,
February,,,,,,,,4.72,2.63,5.4,3.71,5.05,4.22,5.43,4.27,4.7,,,,
March,,,,,,,,3.56,1.98,2.28,4.91,3.18,5.76,0.89,4.34,2.29,,,,
April,,,,,,,2.8,3.55,1.73,2.22,4.41,2.1,4.73,1.82,2.08,,,,,
May,,,,,,,1.37,3.48,4.48,3.03,2.05,4.12,2.65,4.41,3.21,,,,,
June,,,,,,,3.16,4.33,7.96,5.62,4.82,5.89,4.5,2.56,0.35,,,,,
July,,,,,,,2.22,2.59,1.42,3.88,6.14,2.64,6.24,7.26,4.33,,,,,
August,,,,,,,4.55,5.77,4.75,4.76,2.26,6.86,3.8,6.54,1.44,,,,,
September,,,,,,,5.3,2.62,4.46,5.54,2.95,2.99,3.31,4.41,3.15,,,,,
October,,,,,,,4.52,6.07,5.39,2.35,3.88,3.56,4.52,4.83,3.34,,,,,
November,,,,,,,3.66,9.23,2.59,0.99,6.09,4.33,7.63,7.82,3.98,,,,,
December,,,,,,,5.24,6.49,2.63,3.43,5.23,6.34,4.72,3.35,7.5,,,,,
Total,,,,,,,,58.47,45.44,42.23,47.31,47.7,55.75,57.72,44.06,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved here in March 1876 so TYRain_1870-1879_13_pt1-page-064.csv split across two gauges ,,,,,,,,,,,,,,,,,,,,
"Record ends March 1885 and gauge moved to Ross, O'Briensbridge 4 miles south",,,,,,,,,,,,,,,,,,,,
