"KILLALOE, CO. CLARE: observer Rev. Mayne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IR7042472789,Long,-8.4393333,Lat,52.805548,Elevation,123,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,5.48,3.3,3.32,7.47,4.86,5.88,6.85,5.35,4.25,1.06,3.1,3.66,3.06,4.81,7.07,2.11,5.84,5.03,2.95,6.13,6.63,3.82,3.93,5.01,5.75,4.96,6.44,7.72,4.35,11.26,,,,
February,,,,,,,1.61,4.38,7.76,3.06,5.16,2.16,4.13,0.8,1.91,3.96,2.22,2.05,3.54,2.7,3.01,3.36,1.31,2.71,1.88,5.16,5.51,5.21,4.41,5.96,3.02,3.7,4.59,2.01,2.43,1.75,5.28,,,
March,,,,,,,6.38,1.22,5.09,1.15,0.54,3.75,1.52,1.99,2.07,3.62,0.71,3.14,3.2,4.87,4.85,6.65,4.27,3.87,2.85,3.42,3.85,3.06,5.12,3.86,2.74,2.52,2.92,3.98,3.25,1.34,6.08,,,
April,,,,,,,4.01,3.26,3.48,3.59,4.28,1.45,1.34,2.54,0.33,1.78,2.41,3.88,3.39,3.55,2.12,1.12,5.05,2.83,1.22,0.45,2.05,6.43,3.22,3.89,2.07,4.92,2.46,2.71,3.45,1.56,,,,
May,,,,,,,2.09,4.22,1.41,2.45,2.63,1.35,3.33,1.28,4.56,3.85,3.12,2.26,3.32,0.34,4.52,0.51,3.9,2.8,1.84,5.52,3.05,3.45,3.08,4.2,3.93,0.99,2.44,3.09,1.6,3.13,,,,
June,,,,,,,2.07,1.28,2.69,0.73,3.96,3.51,6.49,2.79,4.46,3.6,2.14,2.67,1.01,2.49,5.84,4.21,2.92,3.2,3.39,2.19,4.48,2.34,1.97,1.45,0.71,2.75,4.73,2.91,1.48,4.97,,,,
July,,,,,,,2.84,1.01,5.18,3.51,2.97,3.32,2.44,4.32,3.16,3.66,2.7,3.15,3.22,5.06,2.24,6.51,4.38,0.84,1.64,3.54,1.96,3.62,1.41,2.8,1.3,5.99,1.88,4.18,3.48,2.8,,,,
August,,,,,,,6.47,1.75,9.8,3.23,5,3.58,5.07,2.24,2.6,3.42,3.09,1.78,3.29,4.37,7.38,8.55,2.34,5.32,1.63,4.34,4.55,4.7,5.8,1.02,2.49,2.81,5.01,8.61,7.84,3.48,,,,
September,,,,,,,2.31,3.51,3.61,4.38,2.88,1.49,1.06,2.21,1.9,1.3,3.42,3.37,4.11,6.83,2.62,7.57,1.9,6.15,5.63,1.1,6.47,3.14,2.98,8.87,3.66,2.02,4.59,5.26,5.15,7.45,,,,
October,,,,,,,6.85,4.45,3.67,3.89,2.07,5.35,2.74,5.72,3.59,3.76,1.89,3.19,3.67,2.15,4.58,3.41,7.61,6.22,3.23,5.05,2.44,7.63,6.2,1.52,9.91,4.5,5.7,6.37,6.56,4.07,,,,
November,,,,,,,3.42,6.87,3.14,4.29,6.59,1.88,5.84,3.74,1.88,1.65,1.51,3.2,1.22,4.42,2.64,5.25,2.79,7.12,6.48,5.06,4.77,1.57,2.35,5.49,2.2,2,5.51,3.18,4.23,4.42,,,,
December,,,,,,,2.12,8.82,3.4,2.82,4.19,1.55,4.92,0.96,5.4,2.51,5.08,3.27,6.71,4.6,1.89,2.59,5.06,4.44,2.9,4.08,6.02,1.9,6.67,6.5,3,3.54,6.78,2.51,7.94,3.93,,,,
Total,,,,,,38,45.65,44.07,52.55,40.57,45.13,35.27,45.73,33.94,36.11,34.17,31.39,35.62,39.74,46.19,48.76,51.84,47.37,50.53,35.64,46.04,51.78,46.87,47.14,50.57,40.78,40.7,53.05,52.53,51.76,50.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846 total pencilled as ?38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876 Jan estimated and record ends March when gauge moved - Mr Digan another csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873 total incorrect arithmetic on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
