HEATON CHAPEL ROSELEIGH,,,,,,,,,,
Grid ref,SJ883920,Long,-2.1775329,Lat,53.424662,Elevation,235,ft,,
Station no,RR7975,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,1.33,3.98,2.82,3.16,4.22,2.09,5.05,,
February,,2.47,2.81,0.47,1.51,0.94,4.04,4.47,,
March,,1.63,3.39,2.55,3.17,0.71,4.08,2.72,,
April,,3.08,3.71,0.7,1.25,1.12,3.83,2.04,,
May,,2.28,3.33,2.14,1.92,1.85,1.5,3.51,,
June,,2.73,6.87,2.24,0.87,3.3,3.5,2.69,,
July,1.05,3.71,7.38,4.73,1.34,5.32,2.78,4.46,,
August,1.44,1.55,3.59,4.46,3.4,5.48,3.55,4.73,,
September,2.35,3.53,6.23,2.35,3.74,4.99,3.43,2.6,,
October,6.72,3.93,5.08,3.66,4.43,5.93,2.51,3.92,,
November,2.25,1.55,4.25,2.55,4.82,4.42,3.13,4.76,,
December,2.48,2.56,3.65,1.08,3.1,1.39,3.85,4.73,,
Total,,30.35,54.27,29.75,32.71,39.67,38.29,45.68,,
,,,,,,,,,,
Gauge at Old Trafford 1870 Jan-end June,,,,,,,,,,
