"MULL",,,,,,,,,,,,
Grid ref,NM552393,Long,-5.977440,Lat,56.481979,,,,,,,
Station no,5452,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,6.62,7.57,8.42,11.98,6.74,10.32,5.77,8.96,8.91,,
February,,2.69,4.26,10.68,8.04,7.08,6.15,6.28,7.85,7.92,,
March,,2.85,6.64,15.23,6.15,10.14,3.86,5.92,10.54,2.06,,
April,,4.14,5.29,2.59,8.98,3.31,4.19,4.16,2.37,6.06,,
May,,1.37,3.49,3.08,4.76,3.00,4.82,5.44,4.18,5.45,,
June,,5.42,1.67,1.42,6.11,2.08,1.75,5.62,4.34,2.01,,
July,,1.75,3.66,5.89,4.48,5.69,5.30,2.83,3.81,6.15,,
August,,6.47,5.49,8.62,8.37,7.14,4.76,10.26,5.57,4.63,,
September,,8.34,7.58,5.44,8.09,9.02,5.18,2.31,8.74,2.66,,
October,,8.61,7.22,16.82,6.61,8.01,9.43,4.98,3.72,11.79,,
November,,6.16,8.09,7.69,6.50,8.55,7.38,10.88,7.24,6.57,,
December,,9.27,8.69,9.01,6.99,7.57,9.53,10.50,12.27,7.74,,
Total,,63.69,69.65,94.89,87.06,78.33,72.67,74.95,79.59,71.95,,
Calc annual,0.00,63.69,69.65,94.89,87.06,78.33,72.67,74.95,79.59,71.95,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
