"MULL",,,,,,,,,,,,
Grid ref,NM552393,Long,-5.977440,Lat,56.481979,,,,,,,
Station no,5452,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,14.14,8.11,5.70,9.06,7.00,6.23,13.99,11.94,5.08,,,
February,6.00,3.54,5.43,7.05,5.54,3.35,5.65,5.50,2.71,,,
March,5.33,8.01,2.52,8.09,1.79,2.72,7.13,1.37,-999.00,,,
April,4.65,4.43,5.93,2.06,6.53,3.73,3.68,3.76,,,,
May,1.20,2.48,4.80,5.88,4.14,5.08,1.81,5.01,,,,
June,2.51,5.91,2.70,6.07,4.67,5.22,4.48,2.62,,,,
July,6.88,5.56,6.59,4.78,0.82,6.85,6.56,3.05,,,,
August,8.31,6.47,8.11,6.67,1.53,6.56,7.61,6.58,,,,
September,8.62,6.84,10.64,13.13,9.29,6.00,5.20,5.81,,,,
October,3.75,8.90,9.03,11.42,8.95,6.63,9.27,8.87,,,,
November,11.14,3.43,13.14,14.13,4.12,7.19,5.40,3.13,,,,
December,14.64,10.00,9.18,12.15,9.11,14.12,6.86,7.03,,,,
Total,87.17,73.68,83.77,100.49,63.49,73.68,77.64,64.67,-999.00,,,
Calc annual,87.17,73.68,83.77,100.49,63.49,73.68,77.64,64.67,7.79,0.00,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-1006.79,NaN,,
