OUNDLE-WATER-WORKS,,,,,,,,,,,,,,,,,,,,
Grid ref,TL033892,Long,-0.48000629,Lat,52.490942,Elevation,147,ft,,,,,,,,,,,,
Station no,RR7059,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.01,0.82,3.62,1.02,0.91,1.12,1.83,1.03,3.25,2.42,1.13,2.25,1.37,1.81,1.94,4.48
February,,,,,2.25,0.48,1.43,1.06,1.1,0.33,1.93,1.27,1.36,0.5,0.92,2.53,3.76,0.72,1.09,2.35
March,,,,,1.17,2.28,1.3,0.89,2.59,3.01,0.58,1.75,1.98,2.69,2.77,0.88,4.45,1.1,0.65,2.51
April,,,,,0.71,1.59,0.53,2.63,2.14,1.55,1.73,0.7,0.07,2.71,0.66,0.77,1.05,1.25,2.44,
May,,,,,1.39,1.08,1.54,4.55,1.65,1.52,3.22,0.86,2.77,2.49,0.95,1.87,2.43,1.63,2.79,
June,,,,,0.61,3.2,2.73,1.2,1.01,2.78,1.14,1.51,4.34,1.89,2.53,1.86,2.05,2.38,0.44,
July,,,,,,0.58,1.27,2.37,2.59,2.49,1.88,0.47,6.18,0.96,1.62,4,1.13,1.13,2.44,
August,,,,,2.21,2.89,1.64,2.26,2.37,1.86,2.21,1.99,6.17,1.82,1.54,2.35,3.42,6.73,0.89,
September,,,,,1.68,1.57,1.14,0.73,1.41,2.96,0.62,1.38,1.06,2.2,0.84,0.98,0.77,2.12,5.19,
October,,,,,0.76,1.42,3.78,2.99,1.18,3.36,1.77,1.87,2.26,2.71,2.3,1.16,1.87,2.81,1.82,
November,,,,,0.92,2.56,3.04,2.28,0.69,0.59,2.9,2.28,1.28,1.79,2.16,2.68,3.41,0.85,2.13,
December,,,,,,0.73,2.28,3.04,1.15,3.67,6.08,3.93,2.92,0.7,5.35,3.87,2.44,0.65,1.85,
Total,,,,,,19.2,24.3,25.02,18.79,25.24,25.89,19.04,33.64,22.88,22.77,25.2,28.15,23.18,23.67,
