OUNDLE WATER WORKS,,,,,,,,,,,,
Grid ref,TL040890,Long,-0.469763,Lat,52.489012,,,,,,,
Station no,RR7059,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.01,0.82,3.62,1.02,0.91,1.12,,
February,,,,,2.25,0.48,1.43,1.06,1.10,0.33,,
March,,,,,1.17,2.28,1.30,0.89,2.59,3.01,,
April,,,,,0.71,1.59,0.53,2.63,2.14,1.55,,
May,,,,,1.39,1.08,1.54,4.55,1.65,1.52,,
June,,,,,0.61,3.20,2.73,1.20,1.01,2.78,,
July,,,,,,0.58,1.27,2.37,2.59,2.49,,
August,,,,,2.21,2.89,1.64,2.26,2.37,1.86,,
September,,,,,1.68,1.57,1.14,0.73,1.41,2.96,,
October,,,,,0.76,1.42,3.78,2.99,1.18,3.36,,
November,,,,,0.92,2.56,3.04,2.28,0.69,0.59,,
December,,,,,,0.73,2.28,3.04,1.15,3.67,,
Total,,,,,,19.20,24.30,25.02,18.79,25.24,,
Calc annual,0.00,0.00,0.00,0.00,13.71,19.20,24.30,25.02,18.79,25.24,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
