NORTH SHIELDS CLEMENTHORPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ350693,Long,-1.4531,Lat,55.0176,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.56,2.1,1.3,0.93,2.52,0.8,1.54,2.29,0.68,3.02,2.88,1.13,0.44,1.28,0.59,1.59,2.99,1.7,2.96,1.63,1.41,
February,,,,,,,,,1.4,1.17,1.52,1.59,2.13,1.58,0.93,1.05,2.41,1.95,0.95,3.1,1.44,3.75,0.59,1.41,1.04,1.08,1.44,0.36,0.93,
March,,,,,,,,,0.97,1.17,0.96,0.44,3.05,1.61,0.83,0.49,1.99,2.58,0.98,0.71,1.61,2.5,0.91,1.91,2.4,2.25,2.51,1.7,4.35,
April,,,,,,,,,2.71,1.66,0.77,3.51,1.83,0.91,0.69,0.64,3.15,4.3,1.78,2.38,1.83,0.92,2.81,1.29,2.12,1.6,1.45,0.77,1.25,
May,,,,,,,,2.09,0.79,2.4,1.21,1.5,1.51,2.8,2.28,1.02,0.96,2.3,2.47,2.1,1.28,1.61,2.33,1.66,0.58,2.75,2.84,1.42,0.42,
June,,,,,,,,1.37,0.41,0.99,2.38,2.38,2.54,1.24,1.24,1.79,1.91,1.21,2.04,3.6,1.18,1.29,3.86,2.34,1.4,1.68,1.36,0.26,2.03,
July,,,,,,,,2.63,0.53,0.65,0.41,3.34,2.21,2.15,1.7,5.29,2.69,2.99,0.52,4.17,4.87,3.6,3.98,4.15,2.85,1.67,4.26,0.77,5.22,
August,,,,,,,,2.1,1.77,1.1,1.79,0.95,3.58,2.78,1.54,3.27,1.3,6.21,4.66,3.34,1.32,4.59,4.37,2.46,0.76,3.71,1.97,2.43,2.01,
September,,,,,,,,1.81,3.72,2.57,0.75,3.99,4.07,1.82,1.67,2.55,2.84,1.67,1.5,0.78,4.39,4.73,1.6,3.3,1.09,2.58,1.9,5.27,1.43,
October,,,,,,,,0.89,1.99,2.4,3.16,1.77,5.3,2.15,1.49,3.51,1.76,2.45,1.63,0.61,4.01,3.02,2.7,1.46,1.62,4.36,3.44,3.27,0.93,
November,,,,,,,,0.79,1.89,2.4,3.19,1.43,3.7,1.14,3.31,5.37,3.06,1.44,6.11,3.21,2.16,1.24,2.62,1.04,1.54,1.83,2.88,2.78,2.55,
December,,,,,,,,1.83,3.18,2.09,4.6,1.57,3.93,0.22,3.75,1.33,6.16,2.02,4.95,0.8,3.55,1.81,3.16,2.24,1.69,0.75,2.83,2.93,1.36,
Total,,,,,,,,,20.92,20.7,22.04,23.4,36.37,19.2,20.97,28.6,28.91,32.14,30.47,25.93,28.08,30.34,29.52,24.85,20.08,25.96,29.84,23.59,23.89,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872 mistranscription and =1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
