"PATTERDALE (GREENSIDE MINE)",,,,,,,,,,,,
Grid ref,NY364174,Long,-2.984713,Lat,54.547838,,,,,,,
Station no,3679,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.34,10.23,3.84,8.73,7.61,6.46,17.25,11.34,7.83,11.42,,
February,10.40,2.81,3.38,7.20,3.69,1.29,9.75,11.52,2.82,11.83,,
March,6.21,5.38,1.35,8.63,2.65,4.43,7.20,2.15,7.70,3.65,,
April,8.77,6.48,6.44,2.03,3.83,1.96,2.11,3.38,8.41,8.66,,
May,2.41,4.03,3.93,6.98,9.47,3.57,4.63,7.73,2.55,3.89,,
June,2.12,5.14,3.38,7.53,4.45,5.22,2.01,6.58,6.51,4.36,,
July,5.13,4.18,12.79,8.26,3.63,9.72,5.91,5.68,7.64,7.39,,
August,9.93,11.51,8.61,7.87,4.08,11.94,10.12,6.55,1.67,5.40,,
September,13.19,9.63,13.50,17.48,5.92,5.97,11.27,10.65,1.28,4.31,,
October,2.03,10.01,4.89,23.06,7.01,8.46,9.98,9.54,11.78,5.14,,
November,24.14,6.03,18.65,22.09,4.70,4.23,5.02,1.54,13.00,16.20,,
December,21.09,7.13,5.37,16.21,12.52,15.82,11.46,7.99,19.65,10.40,,
Total,114.76,82.56,86.13,136.07,69.56,79.07,96.71,84.65,90.84,92.65,,
Calc annual,114.76,82.56,86.13,136.07,69.56,79.07,96.71,84.65,90.84,92.65,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
