"PATTERDALE GREENSIDE MINE",,,,,,,,,,,,
Grid ref,NY364174,Long,-2.984713,Lat,54.547838,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.18,6.54,7.66,16.05,14.57,5.87,15.99,4.24,9.98,7.61,,
February,7.00,3.05,2.96,20.69,9.71,5.61,6.77,6.43,7.42,5.27,,
March,0.25,6.00,6.04,28.53,6.57,10.70,6.65,6.97,7.57,5.02,,
April,6.61,7.19,6.14,2.56,11.16,7.39,2.37,3.31,3.91,5.19,,
May,6.60,2.50,5.05,5.59,5.39,5.38,9.32,11.38,4.63,2.53,,
June,5.68,5.39,2.10,2.64,4.77,3.77,2.82,10.70,3.91,4.76,,
July,3.62,1.55,4.85,6.04,5.92,2.46,4.10,2.83,5.40,8.86,,
August,9.52,9.84,4.06,11.32,8.25,6.79,8.20,9.00,12.30,4.94,,
September,6.01,7.03,5.57,7.89,3.58,8.30,3.29,1.39,9.88,4.11,,
October,14.58,8.84,7.88,20.89,4.68,8.11,14.43,12.71,3.36,17.92,,
November,8.45,7.65,7.64,7.89,6.33,10.99,10.33,7.89,9.20,4.98,,
December,18.54,9.29,14.43,9.77,8.89,6.51,4.65,12.97,8.14,10.56,,
Total,97.04,74.87,74.38,139.86,89.82,81.88,88.92,89.82,85.70,81.75,,
Calc annual,97.04,74.87,74.38,139.86,89.82,81.88,88.92,89.82,85.70,81.75,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
