PATTERDALE GREENSIDE MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY364174,Long,-2.984713,Lat,54.547838,Elevation,1000,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,22.75,28.05,12.85,20,6.1,19.03,11.1,1.98,4.29,1.5,10.13,17.89,18.39,6.46,8.15,7.86,4.06,5.9,17.19,9.65,5.56,5,15.39,-999,5.66,1.56,9.81,18.66,10.18,6.54,7.66,16.05,14.57,5.87,15.99,4.24,9.98,7.61,10.8,2.96,6.39,9.27,11.5,9.73,11.87,2.76,9.26,9.26,12.99,16.42,7.76,9.28,9.75,9.3,13.05,10.98,20.36,2.08,19.13,10.71,22.41,14.38,18.56,5.08,11.02,14.69,,4.26,3.42,2.35,9.38,18.38,13.63,7.83,11.06,12.14,15.15,8.81,8.99,9.34,10.23,3.84,8.73,7.61,6.46,17.25,11.34,7.83,11.42,,,,,,,,
February,,,14.35,4,7.72,2.22,10.08,9.84,6.65,5.32,13.93,6.41,12.39,14.77,12.44,21.99,2.57,5.8,2.48,4.16,1.83,0.98,4.94,10.23,16.74,-999,4.93,9.52,10.51,8.51,7,3.05,2.96,20.69,9.71,5.61,6.77,6.43,7.42,5.27,18.82,11.3,7.42,8.34,15.87,15.69,10.23,1.26,10.71,1.13,10.12,0.45,8.23,11.64,2.24,10.81,9.04,5.17,8.81,1.56,1.25,8.01,1.14,8.83,0.9,16.71,5.23,9.09,,13.78,2.93,10.56,3.16,9.69,2.4,10.49,9.09,0.75,12.03,9.71,13.34,10.4,2.81,3.38,7.2,3.69,1.29,9.75,11.52,2.82,11.83,,,,,,,,
March,,,7.3,0.7,8.8,4.77,9.02,5.07,5.53,7.26,4.95,9.17,9.79,5.82,9.22,7.13,8.57,3.16,6.41,4.62,6.52,6.45,2.47,3.51,7.2,-999,12.26,18.56,3.84,6.78,0.25,6,6.04,28.53,6.57,10.7,6.65,6.97,7.57,5.02,7.83,3.14,14.08,10.99,10.48,2.66,2.97,3.2,3.32,6,15.05,14.97,6.13,4.83,1.6,4.39,4.11,9.12,9.96,1.42,4.93,1.57,7.41,6.81,4.8,2.12,5.31,5,,8.85,11.78,5.02,6.6,3.13,1.64,7.05,6.08,12.59,6.97,3.54,7.56,6.21,5.38,1.35,8.63,2.65,4.43,7.2,2.15,7.7,3.65,,,,,,,,
April,,,3.2,1.3,3.85,2.25,4.95,4.44,2.88,3.43,8.67,1.89,10.1,3.92,3.61,6.39,7.36,6.58,5.98,4.75,2.02,2.71,2.09,1.47,3.33,5.5,4.7,5.22,7.79,8.41,6.61,7.19,6.14,2.56,11.16,7.39,2.37,3.31,3.91,5.19,7.89,6.2,2.52,12.01,4.83,5.1,6.52,3.58,1.15,5.46,8.52,1.7,4.6,6.1,5.05,8.8,4.56,5.76,3.63,2.94,4.29,5.49,8.27,2.67,6.9,8.19,2.23,4.64,,4.23,4.28,4.64,8.68,5.51,4.45,4.8,2.76,15.87,8.07,12.32,6.98,8.77,6.48,6.44,2.03,3.83,1.96,2.11,3.38,8.41,8.66,,,,,,,,
May,,,6.25,2.1,3,5.4,1.25,8.53,9.39,2.4,2.6,8.8,9.55,4.84,8.04,5.58,7.36,2.74,5.21,5.04,4.86,6,7.24,2.94,7.96,1.66,0.86,3.68,5.24,7.34,6.6,2.5,5.05,5.59,5.39,5.38,9.32,11.38,4.63,2.53,6.23,5.07,2.8,3.75,5.23,1.41,4.45,4.41,2.78,1.19,10.65,4.68,3.61,6.9,7.22,9.6,4.81,4.09,1.91,7.33,4.6,6.43,5.03,4.26,7.73,1.24,0.96,4.01,,1.28,1.71,6.23,9.23,8.41,3.71,6.85,1.51,4.58,2.9,4.99,4.56,2.41,4.03,3.93,6.98,9.47,3.57,4.63,7.73,2.55,3.89,,,,,,,,
June,,,9.75,3.45,2.65,7.4,6.3,8.02,4.51,8.81,5.59,8.12,8.48,5.61,3.33,2.67,3.08,0.62,3.59,1.02,6.16,3.35,6.16,5.13,3.77,1.67,4.92,4.26,6.8,1.96,5.68,5.39,2.1,2.64,4.77,3.77,2.82,10.7,3.91,4.76,2.96,7.32,8.3,6.85,1.77,0.62,4.68,3.52,2.92,4.22,2.71,0.91,5.02,3.31,4.9,0.39,6.94,6.57,10.46,4.04,4.52,9.94,3.81,2.78,2.65,8.09,5,5.54,,7.2,1.2,0.29,2.91,8.29,7.23,8.49,7.09,5.17,13.38,2.07,4.12,2.12,5.14,3.38,7.53,4.45,5.22,2.01,6.58,6.51,4.36,,,,,,,,
July,,,4.68,10,4.32,4.5,4.55,11.16,1.77,10.71,6.35,7.99,14.87,4.98,9.57,4.29,8.57,7.3,9.62,4.41,8.92,6.49,5.51,6,3.4,8.24,7.35,3.5,2.48,5.52,3.62,1.55,4.85,6.04,5.92,2.46,4.1,2.83,5.4,8.86,8.33,1.9,6.94,0.78,5.64,5.48,4.56,1.66,6.22,2.09,8.62,5.2,9.74,5.69,8.27,1.8,7.06,6.4,6.57,8.06,6.42,8.65,9.56,8.22,2.31,3.54,9.96,5.15,,11.72,9.88,2.19,6.47,5.36,4.22,6.53,8.77,5.36,5.26,1.87,6.21,5.13,4.18,12.79,8.26,3.63,9.72,5.91,5.68,7.64,7.39,,,,,,,,
August,,,8.8,10.5,15.85,5.5,7.64,11.15,7.46,11.27,2.88,9.12,6.24,7.72,1.5,5.8,3.85,3.65,7.2,9.37,9.19,14.99,11.53,7.92,7.21,9.48,3.54,14.3,10.02,2.25,9.52,9.84,4.06,11.32,8.25,6.79,8.2,9,12.3,4.94,14.22,5.33,8.24,3.45,5.33,3.7,3.7,13.26,6.73,5.79,4.52,9.81,7.45,18.18,7.61,7.62,7.57,10.26,14.5,9.75,13.33,6.24,2.34,4.96,9.66,5.95,2.93,1.88,,2.96,4.67,13.57,12.1,13.2,5.49,3.45,10.64,0.17,9.64,6.81,12.56,9.93,11.51,8.61,7.87,4.08,11.94,10.12,6.55,1.67,5.4,,,,,,,,
September,,,12.5,8.05,13.13,9.88,8.15,6.22,12.37,11.29,8.13,2.8,5.45,10.43,10.7,12.76,14.54,10.18,3.07,4.67,9.78,18.26,13,7.59,0.29,3.7,13.33,11.77,4.38,9.09,6.01,7.03,5.57,7.89,3.58,8.3,3.29,1.39,9.88,4.11,1.3,4.74,4.4,3.58,4.62,1.16,3.47,6.55,16.44,6.29,3.69,2.91,5.89,12.01,13.05,6.59,7.53,10.81,5.76,4.02,6.67,3.2,9.32,2.3,12.08,15.02,11.99,8.81,,2.8,8.89,2.76,11.83,11.58,10.6,10.92,15.44,8.64,11.2,3.78,20.16,13.19,9.63,13.5,17.48,5.92,5.97,11.27,10.65,1.28,4.31,,,,,,,,
October,,,16.46,8,26.3,8.15,4.75,21.28,14.17,4.22,2.4,5.03,8.08,12.66,8.96,11.14,9.45,4.91,13.91,11.85,7.53,12.43,10.55,9.27,9.67,9.05,10.94,7.5,8.07,9.05,14.58,8.84,7.88,20.89,4.68,8.11,14.43,12.71,3.36,17.92,4.72,7.54,8.44,5.77,2.29,1.37,22.8,14.98,13.21,2.06,3.51,4.53,1.33,20.76,7.84,12.71,6.87,12.39,17.8,12.77,18.84,6.52,15.66,9.1,14.25,19.03,9.57,5,,5.06,9.68,8.66,12.05,15.28,12.03,13.13,1.45,1.96,7.81,13.34,10.99,2.03,10.01,4.89,23.06,7.01,8.46,9.98,9.54,11.78,5.14,,,,,,,,
November,,,14.83,7.4,6.25,7.72,6.13,25.14,4.91,2.47,15.84,18.73,17.13,16.74,7.81,6.59,9.5,6,17.57,4.54,14.95,9.67,7.38,6.29,13.46,13.33,4.29,11.18,10.85,14.08,8.45,7.65,7.64,7.89,6.33,10.99,10.33,7.89,9.2,4.98,7.08,12.87,6.79,10.09,14.28,2.82,14.01,11.56,7.76,6.21,8.26,3.63,6.38,9.53,8.77,3,15.45,8.63,16.89,19.85,12.9,20.8,9.07,3.4,1.89,7.7,11.67,2.25,,16.87,13.67,8.05,3.13,7.14,15.03,1.08,18.21,15.95,8.28,16.23,9.06,24.14,6.03,18.65,22.09,4.7,4.23,5.02,1.54,13,16.2,,,,,,,,
