CARLUKE COLDSTREAM RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS874498,Long,-3.7936,Lat,55.7292,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5168/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,5.22,3.38,2.12,0.78,4.97,3.24,3.75,2.91,3.12,2.85,6.41,3.55,1.7,3.5,3.34,1.23,3.62,2.03,1.8,4.55,2.75,1.17,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.03,3.13,1.35,2.74,1.41,2.95,1.15,4.75,2.41,0.45,3.14,3.44,2.99,2.94,1.04,1.36,2.3,1.42,1.43,2.96,2.38,1.23,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.03,2.93,3.3,2.61,1.27,1.96,0.62,2.2,2,2.99,2.41,1.12,2.66,2.67,1.44,0.62,1.52,1.7,2.11,2.91,1.24,1.58,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,0.41,1.54,2.86,1.27,1.84,2.23,1.76,1.33,0.99,4.62,2.78,2.2,2.85,2.29,1.81,2.16,1.2,0.97,0.77,1.51,1.24,2.31,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,3.71,0.8,3.04,5.62,1.99,4.13,2.05,3.79,1.28,3.34,1.48,1.41,1.55,1.98,1.3,2.25,4.13,2.45,1.22,2.17,2.94,0.73,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,4.28,1.59,0.93,0.79,1.02,2.82,3.55,3.54,2.68,2.78,4.79,1.32,2.41,2.39,2.1,0.98,2.25,1.29,2.84,2.3,2.94,3.38,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.37,3.48,5.38,4.11,2.8,2.91,2.81,2.87,4.07,2.46,2.11,1.36,4.42,3.73,3.55,4.92,3.12,1.75,5.11,3.47,6.07,3.89,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.07,0.94,1.63,4.23,3.48,3.98,3.84,1.7,2.69,0.03,6.2,3.67,3.72,4.32,4.67,2.78,4.46,2,5.36,4.76,4.2,1.05,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.67,2.24,4.18,0.91,3.77,2.31,4.42,5.89,5.12,3.39,4.7,1.07,7.86,2.2,2.26,2.4,4.19,2.85,4.22,2.65,4.36,0.89,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,8.3,1.35,2.94,3.19,3.9,5.06,3.79,4.55,0.71,1.71,2.79,4.84,2.68,1.02,2.58,2.04,7.8,2.62,2.6,3.5,2.22,3.59,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
