BALLYNURE BALLYBOLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ319962,Long,-5.94834,Lat,54.7973,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,6.55,2.53,5.31,2.78,2.3,3.91,3.37,1.91,3.98,3.66,5.42,5.27,4.71,1.55,2.48,,5,3.75,3,3.66,1,,,,,
February,,,,,3.17,4.39,2.42,1.6,0.84,3.75,1.46,0.22,1.84,4.95,5.26,1.38,1.79,4.45,2.94,,4.25,2.85,3,3.1,3.2,,,,,
March,,,,,4.68,2.25,2.24,1.46,3.96,3.26,3.96,3.18,0.79,3.88,2.52,5.41,5.5,4.91,2.28,,1.45,4.2,1.7,4.6,1.85,,,,,
April,,,,,2.26,3.63,2.42,1.65,1.15,3.5,1.76,2.74,1.61,1.41,3.18,3.23,2.33,2.53,3.37,,2.4,6.8,1.85,2.17,1.85,,,,,
May,,,,,2.27,2.19,3,2.11,3.99,2.55,2.2,4.01,3.66,1.4,3.94,0.51,1.21,1.64,3.53,,3.45,1.75,4.82,2.06,3.75,,,,,
June,,,,,1.37,0.74,1.52,0.49,3.64,0.79,3.87,1.43,3.61,2.86,3.68,3.43,2.93,5.31,3.76,,4.58,0.75,1.75,1.2,0.75,,,,,
July,,,,,3.11,2.2,3.01,2.71,6.92,2.73,2.87,2.18,3.72,4.5,5.44,5.87,7.1,1.46,1.26,,3.25,0.7,2.7,2,3.75,,,,,
August,,,,,2.57,2.75,2.56,2.75,3.84,6.87,3.51,7.69,5.92,5.94,3.66,6.36,2.82,6.05,4.27,,4.7,3.9,3.92,2.1,6.2,,,,,
September,,,,,3.51,5.22,3.51,4.13,1.73,3.52,3.71,2.89,3.51,5.79,0.12,0.36,4.57,3.79,4.78,,2.02,3.03,4.6,3.2,2,,,,,
October,,,,,2.66,4.15,5,1.98,1.87,3.54,3.49,6.3,4.43,6.21,5.08,5.54,4.2,3,3.63,,4.8,3.25,2.5,3.3,1.7,,,,,
November,,,,,3.41,2.36,4.13,2.86,6.16,3.12,9.35,3.65,4.83,3.29,3.08,6.14,2.18,3.82,4.86,,5.35,5.1,4.2,2.3,4.25,,,,,
December,,,,,4.18,2,5.46,3.33,3.27,2.67,2.52,4.34,4.55,2.44,5.18,7.59,5.32,5.77,5.26,,5.3,4.54,3.7,6.5,3,,,,,
Total,,,,,39.74,34.41,40.58,27.85,39.67,40.21,42.07,40.54,42.45,46.33,46.56,51.09,44.66,44.28,42.42,,46.55,40.62,37.74,36.19,33.3,,,,,
