ST. CLEAR TREGARRIE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1938,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,6.10,6.20,3.20,7.78,6.90,7.64,7.10,-999.00,3.30,7.65,
February,,0.90,3.60,11.55,1.85,7.75,4.76,4.50,5.75,2.70,3.43,
March,,3.90,5.62,2.80,3.02,1.05,0.60,4.96,7.50,0.35,3.52,
April,,0.75,4.20,4.81,4.17,4.90,2.05,3.10,3.17,0.65,3.35,
May,,2.80,2.10,2.67,4.25,6.17,2.20,0.51,1.50,4.50,2.86,
June,,0.10,1.58,0.40,1.35,0.00,4.60,4.10,2.83,3.12,1.50,
July,,1.30,3.70,0.90,6.05,3.30,1.92,6.60,3.10,5.05,3.35,
August,,2.65,5.20,4.20,7.10,6.10,3.02,5.70,3.71,0.65,6.55,
September,,1.50,3.35,4.55,4.45,5.72,1.48,11.15,1.88,8.03,7.60,
October,,1.40,2.40,9.30,11.00,6.10,2.91,3.55,-999.00,13.56,8.30,
November,,6.10,3.00,4.85,5.25,6.05,9.63,5.00,6.30,10.50,9.47,
December,,3.35,7.55,4.70,9.25,7.10,1.58,5.70,6.15,4.30,6.02,
Total,,30.85,48.50,53.93,65.52,61.14,42.39,61.97,60.42,56.71,63.60,
Calc annual,0.00,30.85,48.50,53.93,65.52,61.14,42.39,61.97,41.89,56.71,63.60,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,18.53,0.00,0.00,
