LINGFIELD-DRY-HILL-RES,,,,,,,,,,
Grid ref,TQ431417,Long,0.0449,Lat,51.1567,Elevation,550,ft,,
Station no,63/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.45,3.45,4.38,1.8,3.2,2.65,2.95
February,,,,2.1,1.8,0.24,5.1,2.15,0,2.4
March,,,,3,1.2,0.9,1.22,1.34,2.25,2.05
April,,,,0.3,0.25,1.28,0.2,1.15,2.5,0.5
May,,,,2.44,4.85,0.46,1.4,2,0.45,1.45
June,,,,3.35,2.5,3.1,1.15,4.08,0.95,1.47
July,,,,3.01,0.7,3.72,3.6,1.5,1.65,4.1
August,,,,2.7,0.78,2.85,2.85,3.65,0.65,3.55
September,,,,2.5,2.04,3.14,2.85,7.08,0.09,2.05
October,,,,2.6,4.35,1.5,1.33,2.9,3.05,7.9
November,,,,5.75,1.47,0.8,4.35,1.73,3.48,6.35
December,,,,1.95,2.7,4.35,2.45,4.28,6.6,3.55
Total,,,,31.15,26.09,26.72,28.3,35.06,24.32,38.32
,,,,,,,,,,
Gauge read monthly,,,,,,,,,,
1955 Jan Inspection Gauge over exposed to NE but best site available,,,,,,,,,,
1955 Not printed Low,,,,,,,,,,
1956 Not printed Low,,,,,,,,,,
1957 Not printed Low,,,,,,,,,,
1958 Not printed Low,,,,,,,,,,
1959 Not printed Low,,,,,,,,,,
1960 Not printed Low,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Dry Hill Reservoir SRC_ID 6804,,,,,,,,,,
1954-1988,,,,,,,,,,
