DURSLEY-FARNLEY,,,,,,,,,,,,,,,,,,,,
Grid ref,ST7596997621,Long,-2.3489399,Lat,51.676837,Elevation,251,ft,,,,,,,,,,,,
Station no,RR6306,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,3.62,0.52,2.42,0.43,4.75,4.09,1.96,1.68,3.78,4.07,0.64,4.38,,,
February,,,,,,0.09,0.46,3.41,1.39,3.78,6.53,1.4,1.13,1.55,5.99,0.83,2.09,,,
March,,,,,,2.63,2.86,3.91,0.55,0.93,1.19,2.39,1.63,4.27,1.83,4.3,1.81,,,
April,,,,,,2.75,0.72,2.43,2.34,2.17,1.21,3.34,1.61,2.45,1.66,3.34,0.98,,,
May,,,,,,0.38,0.24,1.41,3.04,2.19,2.5,1.32,2.13,4.93,2.89,0.1,2.11,,,
June,,,,,,1.31,3.57,3.11,1.66,2.24,1.83,2.87,3.72,4.89,1.82,3.7,2.85,,,
July,,,,,,3.47,1.19,2.51,0.7,0.75,1.12,3.82,1.17,4.45,3.79,1.44,1.32,,,
August,,,,,,3.87,2.01,6.45,3.22,1.49,3.83,2.34,3.51,3.49,2.77,4.49,1.65,,,
September,,,,,,1.11,7.56,3.57,1.27,1.71,0.71,2.27,2.71,3.54,2.3,1.57,0.86,,,
October,,,,,,3.16,4.53,1.08,5.54,3.17,4.07,1.24,2.36,8.42,1.14,1.61,5.6,,,
November,,,,,,5.37,0.82,1.55,2.99,3.07,2.87,1.15,2.61,1.27,1.25,4.21,3.61,,,
December,,,,,,2.28,3.97,4.58,3.82,2.96,6.05,5.43,2.95,2.3,2.32,1.23,1.7,,,
Total,,,,,,30.04,28.45,36.43,26.95,29.21,36,29.53,27.21,45.34,31.83,27.46,28.96,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1907 Gauge moved,,,,,,,,,,,,,,,,,,,,
