"SOUTHPORT BIRKDALE 1'2"" above ground",,,,,,,,,,,,,,,,,,,,
Grid ref,SD330157,Long,-3.0133103,Lat,53.634189,Elevation,27,ft,,,,,,,,,,,,
Station no,RR385,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,2.79,1.64,0.87,3.74,1.43,2.82,1.03,,,,,,
February,,,,,,,,1.19,0.66,1.83,0.56,0.09,1.53,3.61,,,,,,
March,,,,,,,,2,2.37,1.59,2.12,0.93,1.16,0.5,,,,,,
April,,,,,,,,0.83,1.39,2.85,1.04,2.04,1.18,0.3,,,,,,
May,,,,,,,,2.03,0.66,3.09,2.26,2.19,3.33,1.71,,,,,,
June,,,,,,,,0.96,1.61,0.61,2.33,3.25,2.81,0.92,,,,,,
July,,,,,,,,1.52,5.45,2.74,2.74,2.38,2.06,3.49,,,,,,
August,,,,,,,,2.28,3.55,3.67,4.08,7.13,4.8,2.68,,,,,,
September,,,,,,,,3.55,1,2.59,3.07,4.22,3.19,4.12,,,,,,
October,,,,,,,,2.66,2.7,2.53,1.82,2.54,5.99,4.18,,,,,,
November,,,,,,,,1.52,5.11,1.7,6.36,3.49,2.45,1.16,,,,,,
December,,,,,,,,2.31,1.77,3.38,0.69,5.58,2.28,3.64,,,,,,
Total,,,,,,,,23.64,27.91,27.45,30.81,35.27,33.6,27.34,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_09_pt1-page-090.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_15_pt1-page-085.csv,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGr for observer's house in Liverpool Road, which is also at distance/direction from St Peter's church on the record.",,,,,,,,,,,,,,,,,,,,
