SOUTHPORT BIRKDALE - observer Swindell,,,,,,,,,,
Grid ref,SD323159,Long,-3.025337,Lat,53.635223,Elevation,33,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,
February,3.05,,,,,,,,,
March,0.93,,,,,,,,,
April,1.43,,,,,,,,,
May,1.64,,,,,,,,,
June,1.76,,,,,,,,,
July,0.52,,,,,,,,,
August,5.95,,,,,,,,,
September,1.62,,,,,,,,,
October,4.39,,,,,,,,,
November,2.97,,,,,,,,,
December,3.28,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
TYRain_1900-1909_19_pt1-page-139.csv,,,,,,,,,,
