LANCASTER WRAY VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD602677,Long,-2.610167,Lat,54.103638,Elevation,165,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,3.99,1.3,0.48,0.47,4.15,7.56,7.54,2.97,6.76,3.38,1.86,3.96,7.01,3.03,4.36,1.86,4.77,2.57,2.89,0.64,5.07,6.93,5.11,2.25,3.72,6.59,5.2,3.06,6.11,2.07,4.86,2.98,5.63,2.35,3.98,4.84,4.68,6.86,4.69,2.67,4.02,6.45
February,,,,,,,,,1.98,3.24,4.62,4.95,4,5.3,3.17,4.7,1.75,3.56,1.33,3.36,0.8,0.49,2.22,5.86,6.19,0.46,2.38,3.76,4.04,2.62,4.1,1.57,1.26,5.53,4.02,3.13,2.94,2.57,3.24,2.95,7.89,5.47,1.92,2.33,5.33,7.02,4.39,1.19,5.71,1.47
March,,,,,,,,,2.28,3.03,3.2,5.2,5.13,1.65,4.25,4.98,4.54,2.84,3.99,5.59,4.46,2.24,1.03,1.67,3.38,4.6,7.07,6.83,2.03,2.52,0.43,4.89,3.08,5.15,2.73,3.38,4.87,4.84,3.84,2.56,1.42,1.81,6.63,6.01,6.09,2.19,1.76,2.84,1.73,5.73
April,,,,,,,,,1.67,1.2,2.12,1.82,4.33,2.95,1.44,2.52,3.45,2.16,2.29,2.81,1.51,1.87,1.64,0.4,1.84,3.38,2.39,3.05,3.25,3.83,2.99,2.4,2.08,2.39,3.83,3.44,1.82,2.44,2.09,3.79,2.27,3.53,1.23,5.33,1.18,2.88,3.5,1.98,1.39,1.97
May,,,,,,,,,4.36,2.35,2.53,5.15,2.12,1.77,3.54,1.67,4.31,1.93,1.79,4.19,2.25,2.58,5.19,2.14,2.56,0.91,0.51,2.55,2.76,3.33,1.93,1.37,2.84,2.55,3.03,1.6,5.57,3.48,3.09,2.21,2.59,2.97,2.23,2.78,3.17,1.31,4,2.62,2.05,2.1
June,,,,,,,,,3.58,4.66,4.26,5.08,4.74,5.09,0.55,3.33,1.58,0.36,1.96,1.22,3.74,1.22,3.27,1.97,3.1,3.16,3.42,3.39,3.14,1.11,2.49,1.91,1,1.78,1.59,2.6,2.89,7.94,3.27,2.3,2.28,3.52,5.95,3.08,1.3,0.92,2.67,2.35,2.58,1.83
July,,,,,,,,,0.94,5.38,5.72,6.52,6.94,3.01,5.35,2.57,5.98,2.89,8.56,2.55,3.9,4.48,1.47,4.49,3.89,7.02,3.71,2.27,1.19,1.95,2.86,1.11,4.57,3.78,2.86,2.35,2.76,3.09,3.63,8.08,4.27,0.76,4.34,1.11,3.91,5.29,4.21,1.83,5.21,1.71
August,,,,,,,,6.63,5.87,6.31,2.13,7.82,4.41,3.2,1.64,3.77,2.04,2.5,4.94,7.26,7.21,11.04,7.2,3.99,5.31,5.23,2.7,6.01,6.58,1.76,4.47,3.26,2.76,7.33,3.18,4.53,4.31,5.61,5.37,4.25,7.14,4.11,4.61,2.89,2.6,3.76,4.28,8.02,4.35,4.18
September,,,,,,,,4.18,5.84,3.65,4.17,1.71,2,5.02,3.66,5.97,6.4,6.1,2.84,3.78,5.7,6.78,8.82,4.92,0.56,1.18,6.19,4.68,2.25,5.26,2.8,1.42,2.12,6.24,1.45,3.79,1.73,0.59,6.29,2.88,0.48,3.84,1.83,3.31,2.98,1.1,3.05,5.34,9.18,2.88
October,,,,,,,,6.7,5.12,3.25,1.49,3.18,3.93,7.24,4.07,4.73,6.08,1.79,3.56,5.92,4.1,5.08,4.47,6.33,4.79,5.34,3.89,1.69,4.45,3.34,8.05,3.97,3.97,8.65,2.78,3.28,7.53,4.09,1.52,7.46,2.96,4.91,3.97,2.83,1.96,0.66,9.07,6.37,4.7,2.14
November,,,,,,,,8.88,3.47,1.32,6.41,6.57,7.38,6.19,2.15,4.18,4.53,3.46,7.15,2.47,6.58,5.48,3.48,3.46,4.28,4.24,1.44,5.04,5.1,3.92,3.59,5.32,2.88,3.79,3.64,4.73,4.94,3.66,4.13,2.59,3.46,6.05,5.01,5.7,6.63,2.02,3.77,4.44,3.19,3.02
December,,,,,,,,4.97,2.72,2.88,6.53,4.64,3.92,4.47,6.87,2.72,6.68,3.38,4.42,4.45,0.47,7.42,2.97,4.78,4.5,4.49,5.33,6.82,5.77,3.68,6.14,4.89,4.43,4.79,3.62,1.59,3.38,5.97,3.13,7.72,5.51,8.58,4.46,3.74,7.13,7.15,3.89,2.32,7.84,6.23
Total,,,,,,,,,41.82,38.57,43.66,53.11,53.05,53.45,44.23,44.11,54.1,34.35,44.69,47.56,47.73,51.71,46.12,41.87,45.17,42.58,41.92,46.73,45.63,40.25,44.96,34.36,34.71,58.57,37.93,37.48,48.85,46.35,44.46,49.77,45.9,47.9,46.16,43.95,46.96,41.16,49.28,41.97,51.95,39.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1885 total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1888 total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1889 total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
