ALRESFORD-PLACE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU589337,Long,-1.16007,Lat,51.1,Elevation,300,ft,,,,,,,,,,,,,
Station no,727,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,3.2,5.06,2.45,2.64,3.08,5.21,2.34,5.87,1.59,5.4,2.46,3.42,2.67,2.95,0.98,5.75,7.77,3.5,5.49,
February,,0.33,2.96,5.78,0.37,5.04,1.78,5.03,2.06,0.76,0.93,1.95,0.14,5.7,0.15,4.19,2.96,5.99,0.66,1.56,
March,,1.62,2.24,2.27,1.37,0.57,0.42,3.64,3.34,0.07,1.54,0.4,1.89,3.83,3.35,0.74,2.31,4.72,0.3,,
April,,0.78,4.17,3.11,3.46,2.45,3.46,2.03,1.98,0.71,2.61,3.52,3.53,1.29,2.6,4.03,2.4,2.38,0.09,,
May,,1.56,0.99,1.93,3.91,3.92,3.25,0.99,1.65,2.18,1.85,3.02,4.4,1.97,1.17,1.01,0.72,3.07,1.64,,
June,,0.1,1.66,0.31,2.12,0,2.34,2.7,2.38,1.51,0.35,1.66,1.89,4.29,1.08,3.89,2.68,1.56,0.8,,
July,,0.13,4.99,1.05,4.47,3.34,1.98,3.19,1.48,1.65,1.75,3.38,4.77,1.76,1.69,0.88,4.2,1.01,2.97,,
August,,2.15,2.58,2.67,2.47,3.45,1.24,2.95,2.22,1.68,3.17,4.38,1.97,0.87,2.93,2.94,0.42,1.14,1.59,,
September,,0.91,1.82,2.13,4.9,3.07,1.15,6.07,1.32,0.31,2.92,1.62,3.66,3.06,2.21,4.56,3.28,2.04,1.16,,
October,,0.89,1.14,5.92,4.18,3.63,3.6,1.8,6.93,4.64,1.92,0.56,5.4,2.33,1.43,4.67,1.67,3.59,3.49,,
November,,2.21,1.92,1.94,3.46,1.75,7.34,4.24,2.6,9.65,5.24,4.07,2.04,0.66,2.88,7.59,3.83,2.76,4.85,,
December,,1.83,4.27,3.38,6.06,3.87,0.42,4.05,3.18,7.73,3.42,0.72,1.33,0.55,9.82,3.8,3.78,4.28,4.65,,
Total,,15.71,33.8,32.94,39.41,34.17,32.19,39.03,35.01,32.48,31.1,27.74,34.44,28.98,32.26,39.28,34,40.31,25.7,,
,,,,,,,,,,,,,,,,,,,,,
1925 June Dash replaced with zero as no rain in many southern areas,,,,,,,,,,,,,,,,,,,,,
1934 It was found that the observations have always been made at Alresford Place and forwarded here by person at The Gables,,,,,,,,,,,,,,,,,,,,,
1939 Station terminated,,,,,,,,,,,,,,,,,,,,,
