EAST-MALLING-BELVIDERE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ700560,Long,0.43598715,Lat,51.277783,Elevation,250,ft,,,,,,,,,,,,
Station no,362/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,1.51,2.47,1.24,4.62,5.46,3.32,4.44,2.09,2.96,2.38,5,1.68,,,,,,
February,,,1.5,0.09,3.95,2,4.62,0.99,1.52,1.98,2.07,0.97,1.69,1.38,,,,,,
March,,,2.48,3.31,0.25,1.31,3.81,0.51,1.56,3.26,2.14,2.72,0.38,0.09,,,,,,
April,,,0.99,3.13,3.63,1.65,2.69,0.46,2.56,1.55,2.08,1.49,1.46,1.53,,,,,,
May,,,2.35,0.79,1.78,0.51,3.39,2.7,1.64,1.23,1.7,4.43,2.89,0.69,,,,,,
June,,,2.42,1.78,1.88,4.36,2.32,0.66,1.39,0.47,1.81,0.18,1.75,1.41,,,,,,
July,2.17,,2.28,1.97,1.1,2.91,0.99,1.8,2.29,3.72,2.69,2.45,1.62,2.17,,,,,,
August,3.27,,0.82,1.64,2.87,1.25,1.53,3.2,2.93,0.12,4.58,2.61,1.45,3.67,,,,,,
September,1.9,,3.44,1.5,3.87,2.38,2.73,3.32,0.94,1.22,0.26,2.52,2.02,2.73,,,,,,
October,0.45,,1.89,1.7,3.57,2.55,2.62,2.88,8.72,3.54,1.37,3.42,3.04,5.23,,,,,,
November,4.24,,1.21,2.41,5.46,4.61,1.52,2.78,5.68,7.77,3.46,1.55,1.62,4.3,,,,,,
December,0.3,,0.73,5.48,3.4,2.44,4.59,3.16,1.42,1.89,2,2.64,2.05,2.05,,,,,,
Total,,,21.62,26.27,33,30.59,36.27,25.78,35.09,28.84,27.12,27.36,24.97,26.93,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1931 Gauge moved,,,,,,,,,,,,,,,,,,,,
