"LUDGERSHALL (CONHOLT PARK)",,,,,,,,,,,,
Grid ref,SU326550,Long,-1.533856,Lat,51.293203,,,,,,,
Station no,1528,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.49,2.20,1.10,2.12,3.58,4.91,3.19,4.12,5.45,5.29,,
February,5.92,0.81,1.93,3.66,1.77,0.34,4.28,3.82,0.23,3.36,,
March,4.85,4.07,0.48,3.36,1.42,1.49,2.62,1.72,4.32,1.70,,
April,3.91,1.84,3.15,0.50,0.78,1.47,0.47,1.05,3.65,1.64,,
May,3.06,3.76,1.88,2.28,4.91,0.40,1.98,2.80,0.67,1.42,,
June,0.58,2.04,2.01,4.30,3.69,2.79,2.01,3.39,1.29,2.78,,
July,1.40,1.01,4.43,3.08,0.29,4.81,3.95,2.61,1.73,3.37,,
August,5.84,4.78,2.90,3.91,0.56,5.90,2.94,3.76,1.96,4.09,,
September,3.83,2.61,2.97,3.11,1.81,3.59,4.37,5.01,0.08,4.99,,
October,0.85,5.48,4.76,2.92,3.49,2.23,3.12,3.62,2.92,10.52,,
November,9.08,4.08,2.14,7.32,2.73,0.84,2.59,3.24,3.53,4.80,,
December,2.89,3.54,1.04,3.17,4.54,5.91,4.12,4.14,8.54,4.81,,
Total,45.70,36.22,28.79,39.73,29.57,34.68,35.64,39.28,34.37,48.77,,
Calc annual,45.70,36.22,28.79,39.73,29.57,34.68,35.64,39.28,34.37,48.77,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
