LUDGERSHALL CONHOLT PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU326550,Long,-1.533856,Lat,51.293203,Elevation,750,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.11,1.02,3.61,1.78,0.97,2.19,,,,,0.55,4.86,4.15,1.99,1.07,3.24,4.72,1.01,5.78,0.82,2.15,0.87,2.91,1.32,4.59,4.86,0.95,5.39,1.58,1.68,3.88,4.14,3.66,4.31,3.75,1.78,3.11,1.67,4.5,2.92,5.06,1.26,3.61,1.33,2.25,1.83,3.14,0.81,5.06,6.13,3.99,5.67,2.44,3.85,4.03,6.38,2.61,2.03,3.57,2.09,5.76,2.09,0.56,3.49,2.2,1.1,2.12,3.58,4.91,3.19,4.12,5.45,5.29
February,,,,,,,,,1.3,2.92,0.73,0.01,1.1,4.46,,,,,1.89,3.34,5.45,1.98,1.77,1.39,4.11,0.86,2.91,2.1,1.48,0.7,3.97,2.09,3.16,1.22,5.06,5.64,6.06,1.53,1.46,3.22,0.85,0.45,3.35,4.55,0.47,3.3,2.46,4.37,2.52,0.83,0.97,1.91,0.13,3.67,0.19,3.95,2.99,6.49,0.94,1.82,3.45,3.23,0.71,1.34,0.97,2.52,2.49,1.18,1.07,1.89,4.94,5.92,0.81,1.93,3.66,1.77,0.34,4.28,3.82,0.23,3.36
March,,,,,,,,,4.29,2.42,1.44,2.15,0.82,0.45,,,,,0.88,0.64,1.41,1.78,2.57,4.71,1.66,5.43,1.83,1.15,3.84,4.32,0.91,2.07,4.83,3.38,5.34,1.34,4.27,3.01,1.11,5.79,1.87,1.44,2.61,2.33,0.93,0.62,0.9,4.47,2.77,0.21,0.85,0.38,0.8,3.83,3.51,0.87,3.32,4.7,0.36,1.35,3.1,4.03,2.24,1.11,0.47,1.16,1.26,6.29,1.24,1.62,1.62,4.85,4.07,0.48,3.36,1.42,1.49,2.62,1.72,4.32,1.7
April,,,,,,,,,2.53,3.25,1.76,1.06,0.71,0.04,,,,,2.2,3.77,1.84,2.52,1.66,3.38,1.32,2.66,1.16,3.94,3.52,2.02,2.37,1.61,0.07,3.84,1.27,1.12,0.85,1.73,3.37,2.18,5.85,0.79,4.19,3.77,3.7,2,3.27,2.13,1.75,0.93,2.73,3.33,2.62,1.99,2.33,5.36,2.29,3.2,0.1,3.08,1.68,1.78,2.09,0.92,1.2,1.06,2.18,2.59,1.87,1.82,3.43,3.91,1.84,3.15,0.5,0.78,1.47,0.47,1.05,3.65,1.64
May,,,,,,,,,1.71,3.2,1.82,3.07,1.92,1.64,,,,,3.66,1.8,1.67,1.17,2.67,3.94,3.68,0.78,1.92,1.74,2.54,1.7,1.88,2.34,1.76,2.65,2.49,4.67,1.63,2.46,2.26,0.87,1.61,2.15,0.6,1.69,4.98,3.61,2.31,1.41,1.13,2.18,1.87,2.76,5.41,2.63,1.19,1.28,0.95,2.65,1.81,1.62,0.78,1.86,4.36,3.13,0.61,2.45,3.55,1.43,3.93,2.65,2.53,3.06,3.76,1.88,2.28,4.91,0.4,1.98,2.8,0.67,1.42
June,,,,,,,,,2.97,0.98,2.44,1.65,2.21,1.26,,,,,2.18,1.96,3.03,2.29,4.33,5.51,1.13,3.93,3.6,2.89,0.73,2.73,4.62,1.97,4.74,0.71,1.46,1.34,2.9,3.49,0.77,0.84,2.82,0,1.27,0.49,3.73,0,2.46,3.18,2.26,1.43,0.91,2.18,2,2.76,1.4,6.63,1.69,1.33,1.05,2.59,0.68,1.48,0.29,2.16,2.62,4.03,3.66,1.44,2.78,0.86,1.27,0.58,2.04,2.01,4.3,3.69,2.79,2.01,3.39,1.29,2.78
July,,,,,,,,,4.84,3.88,4.28,2.87,2.44,4.6,,,,,0.27,0.49,1.09,2.14,1.07,2.94,2.56,0.79,0.47,2.68,2.43,3.4,1.96,0.08,3.51,1.83,5.15,5.16,1.91,4.95,7.36,1.6,7.4,0.55,6.49,1.42,4.69,3.45,2.35,3.42,1.85,1.63,3.1,4.36,2.78,2.29,0.79,0.91,5.45,1.59,2.59,7.25,2.73,3.66,2.09,2.01,4.44,1.55,1.35,1.64,1.09,2.33,4.98,1.4,1.01,4.43,3.08,0.29,4.81,3.95,2.61,1.73,3.37
August,,,,,,,,,2.18,3.62,3.92,6.54,4.43,1.48,,,,,1.06,2.5,4.18,2.53,4.99,5.06,3.67,4.43,1.13,2.53,4.59,3.66,2.9,3.87,5.85,1.18,3.24,3.21,6.58,7.88,2.07,3.4,1.58,1.46,5.32,2.75,3.28,2.01,1.09,4.72,1.42,1.53,3.41,3.39,1.87,0.55,2.97,3.19,1.02,0.91,2.09,2.92,0.1,5.38,4.69,2.67,2.7,2.13,5.99,0.6,4.09,2.27,4.41,5.84,4.78,2.9,3.91,0.56,5.9,2.94,3.76,1.96,4.09
September,,,,,,,,,1.94,1.79,1.58,1.96,3.48,1.37,,,,,1.62,2.12,0.84,2.61,1.15,2.81,2.13,1.78,1.05,0.7,2.73,3.35,0.27,1.32,2.46,4.52,2.14,2.53,1.87,2.66,6.06,2.42,1.32,2.01,1.83,3.3,5,3.36,1.13,5.44,1.75,0.71,4.67,2.55,3.88,2.67,2.69,5.52,3.13,2.44,1.59,1.03,2.02,0.43,3.15,1.95,3,2.72,5.86,1.19,2.79,2.56,4.89,3.83,2.61,2.97,3.11,1.81,3.59,4.37,5.01,0.08,4.99
October,,,,,,,,,1.82,3.45,1.38,8.7,4.91,3.2,,,,,5.29,3.09,3.07,1.74,2.36,9.65,1.98,1.92,9.04,5.04,1.54,6.02,5.29,3.24,3.77,4.94,4.57,4.27,7.08,6.81,2.41,1.1,3.38,0.97,1.23,5.41,3.94,4.37,2.56,3.13,5.08,3.89,1.76,1.34,5.49,2.9,1.89,4.82,2.98,4.35,4.83,4.62,4.77,2.2,5,4.14,6.54,4.74,1.54,0.55,3.25,8.52,1.02,0.85,5.48,4.76,2.92,3.49,2.23,3.12,3.62,2.92,10.52
