MELTHAM (HARDEN MOSS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE098086,Long,-1.853478,Lat,53.573912,Elevation,1212,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,
January,,,,,,,,4.05,5.73,4.56,6.4,3.23,6.41,5.75,4.71,8.46,2.2,7.1,6.31,1.55,0.54,0.38,4.16,7.05,8.65,3.69,4.53,2.77,1.41,2.97,6.08,4.09,4.65,1.41,4.57,3.05,2.41,1.91,4.43,9.2,6.6,3.2,4.37,5.63,6.08,3.09,6.57,1.92,4.11,3.76,5.92,5.8,4.89,4.44,3.31,8.52,5.77,2.61,3.92,5.73,3.87,9.45,2.61,5.28,4.23,5.95,5.08,4.69,12.92,1.56,7.3,7.48,6.13,4.25,5.04,2.65,4.62,6.53,7.84,6.12,2.65,5.96,5.46,2.69,4.77,2.65,6.12,5.29,5.82,6.52,7.21,,,,,,,,,,,,,,,,
February,,,,,,,,5.4,4.68,9.3,2.4,3.52,5.1,1.57,2.55,2.01,6.07,5.67,2.63,4.42,5.12,6.41,4.34,3.53,3.08,3.87,1.7,1.36,0.91,2.23,0.89,0.73,3.06,6.67,8.75,0.65,2.41,3.86,5.13,2.48,4.07,1.68,1.15,6.21,5,3.51,4.36,3.1,4.03,4.13,7.07,1.31,2.19,1.74,4.82,6.19,6.46,0.7,9,1.42,6.42,0.7,5.79,6.71,1.36,7.34,4.67,1.26,6.54,0.51,0.95,7.03,0.41,6.26,0.31,7.7,3.35,6.74,2.4,4.07,2.45,4.61,2.12,2.94,3.61,1.93,1.29,3.91,7.98,0.58,3.73,,,,,,,,,,,,,,,,
March,,,,,,,,2.2,5.85,2,4.35,1.56,4.76,3.17,6.05,0.95,5.88,3.11,3.33,2.88,5.05,4.87,3.67,0.68,2.58,3.02,4.16,1.93,3.77,2.48,4.34,2.83,1.05,1.22,5.15,4.35,6.56,5.28,2.01,3.31,0.82,4.02,2.99,7.27,2.71,5.51,4.35,4.43,4.49,0.66,3.29,7.03,5.5,7.45,6.5,1.4,3.64,2.05,2.02,6.31,4.45,4.5,3.83,2.48,1.41,2.01,2.18,6.08,2.41,1.41,2.73,0.32,3.65,3.12,4.08,2.6,4.2,3.47,1.81,5.09,4.23,6.51,2.64,3.36,3.48,3.31,2.39,4.07,2.75,2.43,2.37,,,,,,,,,,,,,,,,
April,,,,,,,,6.22,2.63,2.65,1.85,4.73,3.33,0.67,2.43,1.64,3.08,3.32,1.96,2.59,2.58,1.71,5.31,2.73,2.03,2.44,4.53,1.61,2.9,3.74,2.21,2.68,1.69,0.88,3.1,2.89,2.03,4.35,3.84,3.96,3.1,2.58,2.36,2.98,4.51,3.46,1.6,2.84,2.48,3.5,1.72,0.87,1.72,4.7,1.93,2.15,3.61,3.26,1.51,2.18,7.91,1.49,4.21,3.82,2.7,3.33,3.28,4.2,1.57,1.78,2.97,5.12,5.94,1.82,3.1,4.04,2.23,3.14,0.74,3.3,3.45,3.9,4.4,4.63,0.94,2.65,2.97,0.7,1.7,6.37,3.62,,,,,,,,,,,,,,,,
May,,,,,,,,2.3,2.2,6.1,2.52,2.14,3.47,2.9,2.16,3.3,1.03,4.85,5.01,3.1,3.36,4.41,1.61,1.49,2.08,2.74,6.44,3.09,1.21,3.26,3.76,3.8,5.13,2.35,2.47,0.76,0.56,2.45,3.93,3.61,1.87,1.66,3.44,4.29,3.27,0.59,3.96,5.23,3.07,3.57,7.2,5.79,4.05,3.58,2.9,2.18,2.7,2.77,2.98,2.44,5.44,2.52,1.56,5.41,6.66,4.49,4.54,1.62,1.97,4.36,2.73,3.62,5.45,2.2,3.67,0.71,1.54,3.13,4.99,2.34,0.59,4.46,2.11,2.64,3.86,5.99,1.77,1.53,5.04,2.06,2.83,,,,,,,,,,,,,,,,
June,,,,,,,,2.83,0.21,1.04,2.1,4.74,5.57,2.6,1.41,4.02,3.81,3.68,3.85,6.18,5.21,2.7,5.97,5.9,1.3,4.79,1.88,0.41,4.15,0.6,3.53,2.56,4.08,2.37,4.26,3.18,4.11,3.92,3.31,1.91,4.12,1.82,1.42,1.39,1.26,3.61,1.67,7.14,2.65,2.26,3.48,0.32,5.12,3.21,3.49,1.5,3.73,2.14,2.34,1.79,3.73,0.41,3.64,1.28,2.35,0.03,3.34,4.57,6.06,1.34,4.06,6.44,0.55,3.33,2.16,4.2,5.18,2.47,5.19,3.06,0.95,1.64,3.34,3.92,3.96,3.47,3.88,1.89,5.97,2.62,2.42,,,,,,,,,,,,,,,,
July,,,,,,,,5.96,0.44,0.99,0.93,3.94,4.56,4.14,2.43,6.61,3.63,4.08,1.53,5.41,7.08,2.88,4.75,3.74,3.79,1.94,4.61,1.92,8.55,3.87,3.51,2.92,3.43,5.03,3.72,6.73,2.06,2.44,1.37,1.81,3.63,3.56,2.9,3.81,2.92,2.35,3.31,2.97,4.44,4.06,4.98,4.22,5.83,1.56,3.76,4.35,2.28,2.09,3.84,3.29,8.6,2.15,4.09,6.03,3.79,1.68,3.52,3.21,2.05,2.75,8.58,5.61,5.56,4.51,4.1,2.19,4.07,3.24,5.46,8.13,4.3,3.86,2.73,5.9,6.07,1.47,8.83,5.07,5.57,3.91,7.53,,,,,,,,,,,,,,,,
August,,,,,,,,2.55,3.2,2.83,1.7,2.57,6.34,5.22,5.68,4.01,3.68,6.4,6.55,8.16,2.42,6.17,3.09,3.02,1.59,1.93,3.53,1.83,4.12,5.53,5.54,9.07,4.76,3.18,4.84,3.45,2.33,4.24,6.76,2.7,6.68,2.36,4.01,6.34,5.26,4.6,2.31,4.23,3.85,6.88,3.33,1.06,8.37,2.01,3.42,5.59,2.73,7.57,1.85,4.32,3.68,7.84,6.63,5.32,4.6,5.08,4.95,5.85,4.7,5.58,5.23,7.14,3.07,2.8,3.41,2.27,2.39,1.81,5.74,2.47,2.3,7.42,4.93,4.5,7.03,0.55,10.98,6.41,5.28,0.77,6.57,,,,,,,,,,,,,,,,
September,,,,,,,,3.65,3.45,8.1,3.84,5.14,6.36,3.57,4.68,6.24,5.84,5.03,5.65,3.39,5.92,3.04,3.63,6.84,2.66,5.65,3.56,4.44,1.96,4.19,2.14,4.57,4.16,3.9,1.19,1.43,8.84,4.37,0.84,8.25,1.75,0.93,3.27,6,2.03,3.44,1.85,0.89,3.37,4.42,6.1,4.78,2.44,2.5,3.19,0.59,2.79,2.73,15.37,2.47,2.32,1.33,5.03,4.38,5.33,4.14,3.44,7.52,0.59,1.92,5.06,5.07,5.61,2.73,3.35,6.38,6.96,2.4,2.63,1.67,4.89,2.89,5.32,3.34,6.56,3.33,5.3,6.63,5.28,0.34,3.59,,,,,,,,,,,,,,,,
