MELTHAM HARDEN MOSS (second gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE098086,Long,-1.853478,Lat,53.573912,Elevation,1212,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,
January,,4.22,4.64,1.46,4.8,3.34,2.39,1.93,4.38,9.28,6.76,3.02,4.44,5.28,5.11,2.49,6.24,1.66,3.86,3.94,5.94,5.89,4.86,4.5,3.38,8.35,6.02,2.61,3.81,5.77,4.1,9.62,2.75,5.67,4.22,5.78,5.15,4.86,12,1.76,6.92,,,,,,,,,,
February,,0.91,3.18,6.99,9.3,0.77,2.47,4.36,5.45,2.19,4,1.64,1.21,5.76,4.26,3.3,4.22,2.84,4.05,4.21,6.82,1.39,2.28,1.71,4.95,6.2,6.37,0.71,9.13,1.37,6.14,0.73,5.92,6.68,1.46,7.26,4.58,1.25,6.06,0.54,0.89,,,,,,,,,,
March,,2.87,1.07,1.33,5.22,4.21,7.02,5.47,1.96,3.2,0.84,3.81,2.77,6.79,2.57,4.98,4.18,4.22,4.47,0.69,2.96,5.93,5.53,7.33,6.5,1.43,3.68,2.03,2.07,6.19,4.44,4.57,3.76,2.67,1.38,2.18,2.45,5.75,2.33,1.27,2.74,,,,,,,,,,
April,,2.52,1.79,0.94,3.09,3.1,2.13,4.75,3.99,3.66,3.15,2.65,2.32,2.62,3.63,3.34,1.46,2.64,2.61,3.32,1.58,0.89,1.64,4.7,1.86,2.13,3.5,3.34,1.44,2.11,7.95,1.44,4.2,3.74,2.62,3.6,3.19,4.09,1.6,1.59,2.85,,,,,,,,,,
May,,4.14,5.36,2.43,2.56,0.8,0.66,2.55,4.06,3.66,2.01,1.69,3.31,4.07,3.27,0.54,3.63,4.03,3.11,3.88,5.91,5.66,4.11,3.32,2.83,2.18,2.68,2.74,2.84,2.48,5.68,2.61,1.6,5.34,6.53,4.36,4.33,1.59,1.94,3.7,2.48,,,,,,,,,,
June,,2.71,4.12,2.52,4.48,3.28,4.25,4.15,3.41,1.96,4.16,1.77,1.36,1.43,1.23,3.44,1.66,6.98,2.74,2.33,3.21,0.31,4.9,2.98,3.32,1.49,3.79,2.13,2.32,1.71,3.74,0.4,3.38,1.38,2.36,0.02,3.22,4.23,6.05,1.29,3.99,,,,,,,,,,
July,,3.18,3.64,5.15,3.89,6.8,2.15,2.45,1.47,1.89,3.68,3.71,2.9,3.63,2.98,2.35,3.09,2.89,4.5,4.41,4.85,4.16,5.78,1.48,3.69,4.21,2.3,2.13,3.75,3.26,8.55,2.11,4.05,5.97,3.77,1.58,3.39,3.26,2.13,2.62,8.04,,,,,,,,,,
August,,9.26,4.77,3.32,4.93,3.59,2.3,4.06,6.71,2.71,6.38,2.22,3.91,6.15,5.14,4.61,3.07,4.11,3.97,5.9,3.36,1.09,8.44,1.9,3.44,5.75,2.31,7.69,1.75,4.23,3.8,7.7,6.59,5.53,4.48,5.25,4.79,5.85,4.66,5.29,4.96,,,,,,,,,,
September,,4.63,4.5,4.24,1.25,1.38,9.04,4.32,0.92,8.37,1.39,0.94,3.31,5.89,1.8,3.37,1.72,0.78,3.55,5.28,6.13,4.69,2.53,2.41,3.17,0.6,2.75,2.86,15.51,2.52,2.48,1.31,5.03,4.24,5.09,4.25,3.33,7.17,0.59,1.96,4.92,,,,,,,,,,
October,,7.4,8.2,3.9,7.11,5.54,6.64,2.59,6.45,3.78,6.76,3.5,6.3,10.69,1.82,4.35,7.08,7.16,1.91,4.68,1.46,3.51,4.74,3.72,3.15,2.09,9.55,8.94,3.36,3.51,2.33,3.09,1.61,5.73,6.61,6.34,4.66,5.58,5.96,4.24,7.55,,,,,,,,,,
November,7.02,4.75,3.71,4.6,3.99,4.83,1.69,6.22,3.18,2.29,4.28,7.22,2.56,3.34,3.73,5.54,5.69,4.12,3.58,4.73,5.96,7.2,4.85,5.44,7.2,2.28,4.99,6.71,3.05,4.33,2.82,2.66,3.18,7.32,3.26,2.39,5.8,5.75,8.53,10.58,6.61,,,,,,,,,,
December,0.61,10.81,2.4,6.04,4.92,5.47,6.99,5.74,8.04,3.33,6.81,5.27,4.8,2.69,3.37,1.5,3.74,4.48,3.31,9.35,3.33,4.49,6.42,4.08,8.74,10.06,3.96,2.35,9.54,9.01,5.29,7.91,4.7,4.21,6.8,4.63,2.86,1.35,3.32,10.85,3.55,,,,,,,,,,
Total,,57.4,47.38,42.92,55.54,43.11,47.73,48.59,50.02,46.32,50.22,37.44,39.19,58.34,38.91,39.81,45.78,45.91,41.66,52.72,51.51,45.21,56.08,43.57,52.23,46.77,51.9,44.24,58.57,46.49,57.32,44.15,46.77,58.48,48.58,47.64,47.75,50.73,55.17,45.69,55.5,,,,,,,,,,
