BAMPTON-CE-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP312031,Long,-1.549692,Lat,51.725757,Elevation,233,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.13,1.16,3.97,2.06,3.54,1.09,3.34,1.52,2.14,1.99,2.2,0.49,3.3,3.55,2.58,4.37,3.24,2.82,,,,,,,,,
February,,,,,0.18,3.53,2.15,3.54,2.23,0.64,0.57,1.84,0.14,3.26,0.35,1.84,1.7,4.43,0.68,0.62,1.88,2.61,,,,,,,,,
March,,,,,0.76,0.36,0.89,2.96,1.97,0.12,1.6,0.22,1.8,2.6,1.55,0.43,2.21,2.77,0.18,1.45,2.21,3.23,,,,,,,,,
April,,,,,2.89,1.62,2.62,1.66,0.86,1.14,2.49,3.05,2.16,2.2,2.43,3.64,1.06,3.51,0,2.82,1.77,0.72,,,,,,,,,
May,,,,,5.14,3.54,2.58,1.15,0.61,1.58,1.31,4.19,7.29,1.52,0.63,1.46,0.2,2.52,2.02,0.58,1.6,1.6,,,,,,,,,
June,,,,,2.92,0.1,2.78,3.02,2.38,1.02,1.29,2.96,0.89,1.59,1.68,3.8,2.32,2.1,1.04,1.52,0.7,2.83,,,,,,,,,
July,,,,,3.74,3.21,2.72,2.79,2.65,1.28,2.88,3.29,2.07,1.58,2.75,0.82,4.62,0.74,1.2,3.32,2.38,2.5,,,,,,,,,
August,,,,,2.66,2.97,1.11,4.57,2.08,1.49,1.86,4.03,1.51,0.96,1.64,1.56,0.43,0.58,3.44,1.57,0.11,3.62,,,,,,,,,
September,,,,,4.13,3.16,1.27,5.65,0.89,0.49,3.9,2.79,3.08,2.29,2.45,5.41,3.82,1.42,1.84,0.76,1.02,0.4,,,,,,,,,
October,,,,,4.08,3.07,2.52,0.97,4.02,3.6,1.31,0.71,4.43,1.92,2.02,4.71,1.5,3.08,3.05,3.92,2.6,1.26,,,,,,,,,
November,,,,,2.23,2.08,5.44,2.76,3.11,6.15,3.45,2.92,1.54,0.8,2.05,4.48,3.31,1.14,2.52,4.1,6.78,2.64,,,,,,,,,
December,,,,,4.11,2.55,0.39,3.08,2.03,5.98,3.07,1.35,0.62,0.51,4.57,3.38,2.11,1.85,2.22,1.06,1.04,2.42,,,,,,,,,
Total,,,,,35.97,27.35,28.44,34.21,26.37,24.58,27.07,28.87,27.67,21.22,24.32,32.02,26.58,27.69,20.77,26.09,25.33,26.65,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938 Apr dash=zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
