SHREWSBURY MONKSMOOR,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ502126,Long,-2.7385319,Lat,52.708761,Elevation,200,ft.,,,,,,,,,,,,,,
Station no,RR2027,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,,2.91,2.35,2.76,1.58,1.73,,,,,,,,,,
February,,,,,,,,1.54,1.9,1.68,1.17,1.37,,,,,,,,,,
March,,,,,,,,2.48,1.57,1.43,2.12,0.6,,,,,,,,,,
April,,,,,,,0.95,2.47,1.47,1.08,0.94,2.49,,,,,,,,,,
May,,,,,,,0.55,2.32,1.62,5.24,0.77,0.85,,,,,,,,,,
June,,,,,,,3.85,1.43,0.33,0.75,0.6,2.55,,,,,,,,,,
July,,,,,,,1.46,1.74,0.73,0.84,0.58,3.86,,,,,,,,,,
August,,,,,,,3.5,0.76,2.36,1.67,1.98,1.29,,,,,,,,,,
September,,,,,,,5.53,2.8,1.96,5.42,0.85,4.42,,,,,,,,,,
October,,,,,,,1.33,2.83,1.89,1.93,3.52,3.97,,,,,,,,,,
November,,,,,,,2.58,0.99,0.83,2.19,2.14,0.83,,,,,,,,,,
December,,,,,,,1.52,1.83,6.04,2.96,2.06,1.12,,,,,,,,,,
Total,,,,,,,,24.1,23.05,27.95,18.31,25.08,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,
"NGR is on Monkmoor Street at about the correct altitude but the location could equally be at Monkmoor, 1 mile NW. I have seen an area 200 to 300 yds NE referred to as Monksmoor but not officially on maps",,,,,,,,,,,,,,,,,,,,,,
