SHREWSBURY-ABBEY-HOUSE-KITCHEN-GARDEN,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ500125,Long,-2.7414766,Lat,52.707844,Elevation,180,ft.,,,,,,,,,,,,
Station no,RR2027,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,1.96,,,,,,,,,
February,,,,,,,,,,,2,,,,,,,,,
March,,,,,,,,,,,0.43,,,,,,,,,
April,,,,,,,,,,,1.51,,,,,,,,,
May,,,,,,,,,,,1.87,,,,,,,,,
June,,,,,,,,,,,1.84,,,,,,,,,
July,,,,,,,,,,,1.98,,,,,,,,,
August,,,,,,,,,,,2.54,,,,,,,,,
September,,,,,,,,,,2.02,0.46,,,,,,,,,
October,,,,,,,,,,3.1,3.1,,,,,,,,,
November,,,,,,,,,,0.61,3.16,,,,,,,,,
December,,,,,,,,,,3.55,4.02,,,,,,,,,
Total,,,,,,,,,,,24.87,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is back of house, more extensive record is at the front of the house on separate sheet",,,,,,,,,,,,,,,,,,,,
