SHREWSBURY-COTON-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ492134,Long,-2.7534555,Lat,52.715859,Elevation,190,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.01,3.23,1.07,1.69,1.38,1.96,1.86,3.56,0.96,4.05,1.33,2.32,1.22,2.28,0.89,2.86,2.34,2.64,5.17,3.24,3.36,3.09,3.78,2.07,1.54,2.36,,,,
February,,0.34,2.34,3.7,0.34,3.37,1.6,1.75,1.78,0.51,0.65,1.94,0.11,2.46,0.16,2.72,1.73,3.18,0.41,1.08,2.5,2.28,0.74,0.86,1.36,1.44,1.79,,,,
March,,1.21,2.3,1.13,1.55,0.99,0.45,2.02,1.69,0.36,3.02,0.32,1.95,1.72,1.07,0.75,1.43,1.67,0.26,1.38,2.07,2.16,1.71,0.96,0.56,0.88,0.83,,,,
April,,0.95,1.89,2.04,2.22,1.54,1.53,1.91,1.03,0.61,2.3,3.49,3.52,0.76,2.2,2.84,1.44,1.67,0.09,1.56,3.81,0.93,0.93,1.27,1.22,0.94,1.12,,,,
May,,1.1,0.99,2.24,5.25,1.88,3.36,1.17,1.19,1.54,1.77,4.28,3.95,1.22,1.2,0.73,1.01,1.18,1.58,0.84,2.8,1.9,3.6,2.67,0.78,3.53,1.96,,,,
June,,0.26,0.69,0.36,2.15,0,1.17,3.41,2.84,1.87,0.68,3.8,0.79,2.26,1.25,1.67,2.92,0.87,1.85,1.21,2.5,2.51,1.15,1.51,1.53,1.87,2.38,,,,
July,,0.62,2.48,1.84,3.55,1.95,1.88,2.26,1.22,1.91,3.49,2.61,3.91,1.86,1.09,0.63,3.76,1.83,1.61,4.5,2.39,1.7,1.89,2.16,1.24,1.48,1.62,,,,
August,,2.86,2.07,2.52,2.07,3.21,2,4.34,2.83,2.46,1.83,4.87,1.27,0.87,2.29,1.52,0.44,1.56,3.65,2.01,0.18,3,2.63,1.6,2.38,2.96,4.96,,,,
September,,0.62,1.89,1.35,2.8,2.68,1.23,3.03,1.16,0.96,3.05,2.53,1.66,0.89,1.39,3.33,4.66,1.7,1.41,0.51,1.49,0.8,1.05,3.35,2.72,1.34,3.45,,,,
October,,2.05,0.58,3.13,3.25,2.37,2.12,1.9,3.07,2.8,3.06,0.67,3.57,4.68,2.06,4.17,1.55,3.16,3.1,2.68,3.06,1.87,1.52,2.53,2.82,3.53,0.83,,,,
November,,2.14,0.67,1.61,1.41,1.56,4.39,3.25,2.86,4.36,3.23,3.52,1.27,0.7,1.69,4.22,1.87,1.57,3.3,3.6,6.94,1.93,0.9,1.79,2.8,0.48,3.48,,,,
December,,1.92,3.61,2.43,2.32,2.04,0.57,1.91,1.86,4.23,3.06,1.18,0.8,0.5,3.13,2.51,2.33,2.46,2.51,2.04,1.27,1.18,2.54,1.07,1.35,2.26,2.05,,,,
Total,,16.08,22.74,23.42,28.6,22.97,22.26,28.81,25.09,22.57,30.19,30.54,25.12,19.14,19.81,25.98,26,23.19,22.41,26.58,32.25,23.62,21.75,23.55,20.83,22.25,26.83,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1940s record and is in Coton Hill at about the correct altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monkmoor and Coton Hill records overlap for just over 11 years and thre are 2 randomly spaced records that are duplicated, which is not considered supicious",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
