"SHREWSBURY THE ABBEY HOUSE",,,,,,,,,,,,
Grid ref,SJ500125,Long,-2.741477,Lat,52.707844,,,,,,,
Station no,RR2027,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.78,1.46,0.56,1.69,2.07,0.48,3.11,1.03,0.83,1.19,,
February,2.89,0.92,0.83,1.73,3.05,0.56,1.50,0.83,1.02,0.79,,
March,0.72,1.91,1.09,3.00,1.45,2.87,0.96,0.60,2.42,2.23,,
April,0.73,1.74,1.82,0.86,1.02,1.48,0.83,1.55,2.07,1.79,,
May,1.83,0.68,2.51,2.27,2.27,0.82,1.52,2.52,1.63,0.50,,
June,1.89,2.44,2.36,1.69,0.97,2.14,1.96,3.77,1.92,2.69,,
July,2.12,4.37,0.88,2.29,2.24,1.26,0.97,2.53,2.57,2.39,,
August,3.31,1.32,4.38,3.90,3.43,3.72,1.47,2.54,3.21,1.75,,
September,0.45,0.79,1.35,3.27,1.52,1.02,0.63,-999.00,1.76,1.89,,
October,2.21,1.51,2.54,5.06,0.38,1.10,4.15,5.29,1.57,2.95,,
November,2.53,0.97,1.00,2.73,1.17,2.42,2.22,2.31,1.58,0.55,,
December,3.02,3.00,1.34,1.80,1.76,0.63,1.67,1.78,1.93,3.37,,
Total,23.48,21.11,20.66,30.29,21.33,18.50,20.99,25.43,22.51,22.09,,
Calc annual,23.48,21.11,20.66,30.29,21.33,18.50,20.99,24.75,22.51,22.09,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.68,-0.00,-0.00,,
